Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Afghanistan,AFG,2015,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.45770500221765
Afghanistan,AFG,2014,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.63753256874586
Afghanistan,AFG,2013,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.75118171303033
Afghanistan,AFG,2012,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.98475717572819
Afghanistan,AFG,2011,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.7559233122206
Afghanistan,AFG,2010,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.93993655831435
Afghanistan,AFG,2009,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.61706039799516
Afghanistan,AFG,2008,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.14758991176544
Afghanistan,AFG,2007,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,1.46093757483826
Afghanistan,AFG,2006,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,1.40862313227307
Afghanistan,AFG,2005,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,1.26764724208131
Afghanistan,AFG,2004,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,1.14399635836639
Afghanistan,AFG,2003,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,1.32502825287787
Afghanistan,AFG,2002,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,1.36028256182598
Afghanistan,AFG,2001,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,1.8273988865553
Afghanistan,AFG,2000,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,1.68617312382687
Afghanistan,AFG,1999,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,1.57068110175532
Afghanistan,AFG,1998,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,1.64897788583862
Afghanistan,AFG,1997,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,1.59923664309762
Afghanistan,AFG,1996,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,1.54847691566463
Afghanistan,AFG,1995,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,1.48569193557955
Afghanistan,AFG,1994,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.24561299646338
Afghanistan,AFG,1993,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,1.76063654184963
Afghanistan,AFG,1992,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,1.33250174740999
Afghanistan,AFG,1991,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,1.99591306318908
Afghanistan,AFG,1990,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,1.88411277331996
Afghanistan,AFG,2017,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,97.0919732851744
Afghanistan,AFG,2016,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,97.0993598483561
Afghanistan,AFG,2015,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,64.5733535573634
Afghanistan,AFG,2014,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,86.5005120344614
Afghanistan,AFG,2013,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,62.8756933574353
Afghanistan,AFG,2012,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,60.8491561955971
Afghanistan,AFG,2011,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,29.5728813319651
Afghanistan,AFG,2010,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,30.2188001325129
Afghanistan,AFG,2009,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,32.9043678269207
Afghanistan,AFG,2008,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,27.9542515209591
Afghanistan,AFG,2007,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,18.3846727932146
Afghanistan,AFG,2006,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,11.1930788250914
Afghanistan,AFG,2005,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,8.02072617359793
Afghanistan,AFG,2017,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.5
Afghanistan,AFG,2016,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.5
Afghanistan,AFG,2015,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,92.5
Afghanistan,AFG,2014,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,98.7
Afghanistan,AFG,2013,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,92.7357330322266
Afghanistan,AFG,2012,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,95
Afghanistan,AFG,2011,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,86.5677791512155
Afghanistan,AFG,2010,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,82.8
Afghanistan,AFG,2009,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,85.3217163085938
Afghanistan,AFG,2008,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,89.9
Afghanistan,AFG,2007,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,81.6870498657227
Afghanistan,AFG,2006,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,79.889274597168
Afghanistan,AFG,2005,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,74
Afghanistan,AFG,2017,Access to electricity (% of population),EG.ELC.ACCS.ZS,97.7
Afghanistan,AFG,2016,Access to electricity (% of population),EG.ELC.ACCS.ZS,97.7
Afghanistan,AFG,2015,Access to electricity (% of population),EG.ELC.ACCS.ZS,71.5
Afghanistan,AFG,2014,Access to electricity (% of population),EG.ELC.ACCS.ZS,89.5
Afghanistan,AFG,2013,Access to electricity (% of population),EG.ELC.ACCS.ZS,70.1534805297852
Afghanistan,AFG,2012,Access to electricity (% of population),EG.ELC.ACCS.ZS,69.1
Afghanistan,AFG,2011,Access to electricity (% of population),EG.ELC.ACCS.ZS,43.2220189082037
Afghanistan,AFG,2010,Access to electricity (% of population),EG.ELC.ACCS.ZS,42.7
Afghanistan,AFG,2009,Access to electricity (% of population),EG.ELC.ACCS.ZS,45.2371215820313
Afghanistan,AFG,2008,Access to electricity (% of population),EG.ELC.ACCS.ZS,42.4
Afghanistan,AFG,2007,Access to electricity (% of population),EG.ELC.ACCS.ZS,33.0157508850098
Afghanistan,AFG,2006,Access to electricity (% of population),EG.ELC.ACCS.ZS,26.9293174743652
Afghanistan,AFG,2005,Access to electricity (% of population),EG.ELC.ACCS.ZS,23
Afghanistan,AFG,2015,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,86.0501112508465
Afghanistan,AFG,2014,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,85.3235490326885
Afghanistan,AFG,2013,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,78.6364080993837
Afghanistan,AFG,2012,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,85.9099804305284
Afghanistan,AFG,2011,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,82.4875621890547
Afghanistan,AFG,2010,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,85.9865470852018
Afghanistan,AFG,2009,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,87.1766029246344
Afghanistan,AFG,2008,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,68.6548223350254
Afghanistan,AFG,2007,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,72
Afghanistan,AFG,2006,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,70.7557502738226
Afghanistan,AFG,2005,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,74.0618101545254
Afghanistan,AFG,2004,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,70.8908406524467
Afghanistan,AFG,2003,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,70.2497285559175
Afghanistan,AFG,2002,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,79.0639711991138
Afghanistan,AFG,2001,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,72.8114599913182
Afghanistan,AFG,2000,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,74.9890940817217
Afghanistan,AFG,1999,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,73.7226277372263
Afghanistan,AFG,1998,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,74.4360902255639
Afghanistan,AFG,1997,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,72.3880597014925
Afghanistan,AFG,1996,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,70.3703703703704
Afghanistan,AFG,1995,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,69.037037037037
Afghanistan,AFG,1994,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,68.7045123726346
Afghanistan,AFG,1993,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,68.3453237410072
Afghanistan,AFG,1992,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,67.9943100995733
Afghanistan,AFG,1991,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,67.9802955665025
Afghanistan,AFG,1990,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,67.7304964539007
Afghanistan,AFG,2015,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,18.4234771693218
Afghanistan,AFG,2014,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,19.3142686133983
Afghanistan,AFG,2013,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,16.3342925084743
Afghanistan,AFG,2012,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,13.9735856888609
Afghanistan,AFG,2011,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,11.4827062291243
Afghanistan,AFG,2010,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,14.8398059645804
Afghanistan,AFG,2009,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,17.8138547564602
