Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Belarus,BLR,2015,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,6.47006816492061
Belarus,BLR,2014,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,6.83291645216428
Belarus,BLR,2013,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.06140783120911
Belarus,BLR,2012,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.9804333108178
Belarus,BLR,2011,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.81135936914023
Belarus,BLR,2010,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.73263489946284
Belarus,BLR,2009,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.02913468995465
Belarus,BLR,2008,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.47341451903343
Belarus,BLR,2007,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,9.32464600962865
Belarus,BLR,2006,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,10.3386428796426
Belarus,BLR,2005,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,10.6839118512967
Belarus,BLR,2004,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,11.7000333752167
Belarus,BLR,2003,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,12.6087119755198
Belarus,BLR,2002,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,13.1104501902558
Belarus,BLR,2001,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,13.5090589067811
Belarus,BLR,2000,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,14.0876945822948
Belarus,BLR,1999,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,14.665971045324
Belarus,BLR,1998,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,15.5732950279104
Belarus,BLR,1997,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,17.2331864394545
Belarus,BLR,1996,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,19.2466191421769
Belarus,BLR,1995,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,19.266985728573
Belarus,BLR,1994,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,18.6608029015444
Belarus,BLR,1993,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,19.4039931998361
Belarus,BLR,1992,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,21.0522029232947
Belarus,BLR,1991,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,22.8070762618561
Belarus,BLR,1990,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,23.1278445367167
Belarus,BLR,2017,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Belarus,BLR,2016,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Belarus,BLR,2015,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Belarus,BLR,2014,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Belarus,BLR,2013,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Belarus,BLR,2012,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Belarus,BLR,2011,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Belarus,BLR,2010,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Belarus,BLR,2009,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Belarus,BLR,2008,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Belarus,BLR,2007,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Belarus,BLR,2006,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Belarus,BLR,2005,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Belarus,BLR,2004,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Belarus,BLR,2003,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Belarus,BLR,2002,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Belarus,BLR,2001,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Belarus,BLR,2000,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Belarus,BLR,1999,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Belarus,BLR,1998,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Belarus,BLR,1997,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Belarus,BLR,1996,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
