Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Benin,BEN,2015,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,9.07481537036461
Benin,BEN,2014,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.61562266942328
Benin,BEN,2013,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.83196748169947
Benin,BEN,2012,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,9.03123337825779
Benin,BEN,2011,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,9.12302418951263
Benin,BEN,2010,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,9.14201724642486
Benin,BEN,2009,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.78718414049568
Benin,BEN,2008,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.56937563057823
Benin,BEN,2007,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.79337179745273
Benin,BEN,2006,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.57200595630306
Benin,BEN,2005,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.55145743701808
Benin,BEN,2004,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.65372413494544
Benin,BEN,2003,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.65578977499891
Benin,BEN,2002,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.50897607002651
Benin,BEN,2001,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.32510709860239
Benin,BEN,2000,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.25496150279528
Benin,BEN,1999,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.89457316788141
Benin,BEN,1998,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.98202669184217
Benin,BEN,1997,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,9.46627521932747
Benin,BEN,1996,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,9.64719851208874
Benin,BEN,1995,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.64297336578672
Benin,BEN,1994,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.96865967914371
Benin,BEN,1993,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.95518814784716
Benin,BEN,1992,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,9.26014953802541
Benin,BEN,1991,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,9.30442096470045
Benin,BEN,1990,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,9.55184973912938
Benin,BEN,2017,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,17.1977447304814
Benin,BEN,2016,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,16.4499666661503
Benin,BEN,2015,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,15.6818841574795
Benin,BEN,2014,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,16.2260154564679
Benin,BEN,2013,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,14.1372801191426
Benin,BEN,2012,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,14.5507815063846
Benin,BEN,2011,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,13.6236299175185
Benin,BEN,2010,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,10.573701122937
Benin,BEN,2009,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,11.4134294562298
Benin,BEN,2008,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,10.8483523813377
Benin,BEN,2007,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,10.2993681503331
Benin,BEN,2006,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,7.91549568512587
Benin,BEN,2005,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,9.15260240185713
Benin,BEN,2004,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,8.51115117048165
Benin,BEN,2003,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,7.80252468149873
Benin,BEN,2002,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,7.03216870751954
Benin,BEN,2001,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,4.44922892055787
Benin,BEN,2000,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,5.17052482960855
Benin,BEN,1999,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,4.18561329687422
Benin,BEN,1998,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,3.19400269793141
Benin,BEN,1997,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2.20684446286765
Benin,BEN,1996,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2.77705783175004
Benin,BEN,2017,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,72.5347290039063
Benin,BEN,2016,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,70.8925552368164
Benin,BEN,2015,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,69.2507400512695
Benin,BEN,2014,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,55.8
Benin,BEN,2013,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,65.9756240844727
Benin,BEN,2012,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,68.6
Benin,BEN,2011,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,67
Benin,BEN,2010,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,65.4
Benin,BEN,2009,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,59.5188331604004
Benin,BEN,2008,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,57.9343147277832
