Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Central African Republic,CAF,2015,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.10372476525413
Central African Republic,CAF,2014,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.8658951701608
Central African Republic,CAF,2013,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.73369537527473
Central African Republic,CAF,2012,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.46898560723075
Central African Republic,CAF,2011,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.58950320081311
Central African Republic,CAF,2010,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.7057910485447
Central African Republic,CAF,2009,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.84661294032428
Central African Republic,CAF,2008,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.94749960850131
Central African Republic,CAF,2007,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,6.05780927568192
Central African Republic,CAF,2006,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,6.32636172048121
Central African Republic,CAF,2005,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,6.48350412088345
Central African Republic,CAF,2004,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,6.52896141645962
Central African Republic,CAF,2003,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,6.88078021322269
Central African Republic,CAF,2002,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,6.55892125158414
Central African Republic,CAF,2001,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,6.79612385263863
Central African Republic,CAF,2000,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.20018824702209
Central African Republic,CAF,1999,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.00862240928696
Central African Republic,CAF,1998,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,9.22541267198869
Central African Republic,CAF,1997,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,9.64438408062533
Central African Republic,CAF,1996,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,9.84324500621298
Central African Republic,CAF,1995,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,10.6720802311108
Central African Republic,CAF,1994,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,11.4391436312813
Central African Republic,CAF,1993,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,12.8120824766227
Central African Republic,CAF,1992,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,12.8051429756796
Central African Republic,CAF,1991,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,11.2854865447227
Central African Republic,CAF,1990,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,11.193401227339
Central African Republic,CAF,2017,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,14.594809646875
Central African Republic,CAF,2016,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,12.6423623581065
Central African Republic,CAF,2015,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,10.613305265932
Central African Republic,CAF,2014,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,8.57096257413608
Central African Republic,CAF,2013,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,6.75956746224928
Central African Republic,CAF,2012,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,4.86543016597619
Central African Republic,CAF,2011,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2.71652987903885
Central African Republic,CAF,2010,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0.184799204965948
Central African Republic,CAF,2009,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0.512405778993352
Central African Republic,CAF,2008,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0.566584123188842
Central African Republic,CAF,2007,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0.638138850277719
Central African Republic,CAF,2006,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0.106569163659916
Central African Republic,CAF,2005,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0.750423604954395
Central African Republic,CAF,2004,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0.750218973462096
Central African Republic,CAF,2003,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0.690391958072069
Central African Republic,CAF,2002,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0.582408924893384
Central African Republic,CAF,2001,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0.437695742117953
Central African Republic,CAF,2000,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0.205764404284677
Central African Republic,CAF,1999,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0.0834980083093834
Central African Republic,CAF,1998,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0
Central African Republic,CAF,1997,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0
Central African Republic,CAF,1996,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0
Central African Republic,CAF,1995,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0.0342832352418486
Central African Republic,CAF,2017,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,52.142951965332
Central African Republic,CAF,2016,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,48.3047561645508
Central African Republic,CAF,2015,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,44.422721862793
Central African Republic,CAF,2014,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,40.5236129760742
Central African Republic,CAF,2013,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,36.8946380615234
Central African Republic,CAF,2012,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,33.3881492614746
Central African Republic,CAF,2011,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,29.507791519165
Central African Republic,CAF,2010,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,24.9
Central African Republic,CAF,2009,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,25.0706634521484
Central African Republic,CAF,2008,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,23.8196048736572
Central African Republic,CAF,2007,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,22.5815277099609
Central African Republic,CAF,2006,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,20.263671875
Central African Republic,CAF,2005,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,20.1446933746338
Central African Republic,CAF,2004,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,18.9461288452148
Central African Republic,CAF,2003,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,17.7608108520508
Central African Republic,CAF,2002,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,16.5860061645508
Central African Republic,CAF,2001,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,15.4162788391113
Central African Republic,CAF,2000,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,15.6
Central African Republic,CAF,1999,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,13.0698251724243
Central African Republic,CAF,1998,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,11.8819875717163
Central African Republic,CAF,1997,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,10.6769990921021
Central African Republic,CAF,1996,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,9.45086097717285
Central African Republic,CAF,1995,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,8
Central African Republic,CAF,2017,Access to electricity (% of population),EG.ELC.ACCS.ZS,29.9820384979248
Central African Republic,CAF,2016,Access to electricity (% of population),EG.ELC.ACCS.ZS,27.1277122497559
Central African Republic,CAF,2015,Access to electricity (% of population),EG.ELC.ACCS.ZS,24.2307262420654
Central African Republic,CAF,2014,Access to electricity (% of population),EG.ELC.ACCS.ZS,21.3389186859131
Central African Republic,CAF,2013,Access to electricity (% of population),EG.ELC.ACCS.ZS,18.7120380401611
Central African Republic,CAF,2012,Access to electricity (% of population),EG.ELC.ACCS.ZS,16.0999584197998
Central African Republic,CAF,2011,Access to electricity (% of population),EG.ELC.ACCS.ZS,13.2012872695923
Central African Republic,CAF,2010,Access to electricity (% of population),EG.ELC.ACCS.ZS,9.8
Central African Republic,CAF,2009,Access to electricity (% of population),EG.ELC.ACCS.ZS,10.0149793624878
