Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
"Egypt, Arab Rep.",EGY,2015,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.51107011031528
"Egypt, Arab Rep.",EGY,2014,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.71434452337684
"Egypt, Arab Rep.",EGY,2013,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.56725879529674
"Egypt, Arab Rep.",EGY,2012,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.79971890055693
"Egypt, Arab Rep.",EGY,2011,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.77736476114315
"Egypt, Arab Rep.",EGY,2010,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.66470829263456
"Egypt, Arab Rep.",EGY,2009,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.92791780698081
"Egypt, Arab Rep.",EGY,2008,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.01876297704385
"Egypt, Arab Rep.",EGY,2007,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.14541380253581
"Egypt, Arab Rep.",EGY,2006,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.14438007053593
"Egypt, Arab Rep.",EGY,2005,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.19067621059497
"Egypt, Arab Rep.",EGY,2004,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.75747882802877
"Egypt, Arab Rep.",EGY,2003,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.61839296909718
"Egypt, Arab Rep.",EGY,2002,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.59683614171353
"Egypt, Arab Rep.",EGY,2001,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.56946868761039
"Egypt, Arab Rep.",EGY,2000,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.29080304639663
"Egypt, Arab Rep.",EGY,1999,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.63399638445652
"Egypt, Arab Rep.",EGY,1998,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.77164630474912
"Egypt, Arab Rep.",EGY,1997,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.66201640069371
"Egypt, Arab Rep.",EGY,1996,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.70922123545861
"Egypt, Arab Rep.",EGY,1995,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.66903321021947
"Egypt, Arab Rep.",EGY,1994,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.61031132076973
"Egypt, Arab Rep.",EGY,1993,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.90186659790351
"Egypt, Arab Rep.",EGY,1992,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.87197030647725
"Egypt, Arab Rep.",EGY,1991,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.94061207581635
"Egypt, Arab Rep.",EGY,1990,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.98089540956278
"Egypt, Arab Rep.",EGY,2017,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
"Egypt, Arab Rep.",EGY,2016,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
"Egypt, Arab Rep.",EGY,2015,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
"Egypt, Arab Rep.",EGY,2014,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,99.7250555453603
"Egypt, Arab Rep.",EGY,2013,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,99.9951925214014
"Egypt, Arab Rep.",EGY,2012,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,99.8258393992914
"Egypt, Arab Rep.",EGY,2011,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,99.7624685728896
"Egypt, Arab Rep.",EGY,2010,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,99.5224624552282
"Egypt, Arab Rep.",EGY,2009,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,99.026640618395
"Egypt, Arab Rep.",EGY,2008,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,99.7243827055173
