Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Ethiopia,ETH,2015,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,13.6692641670453
Ethiopia,ETH,2014,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,14.6731858584682
Ethiopia,ETH,2013,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,15.6237681767498
Ethiopia,ETH,2012,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,16.6948106567576
Ethiopia,ETH,2011,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,17.6318300228935
Ethiopia,ETH,2010,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,18.9622663816519
Ethiopia,ETH,2009,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,20.7579856288556
Ethiopia,ETH,2008,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,21.9723882890533
Ethiopia,ETH,2007,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,23.6280695615269
Ethiopia,ETH,2006,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,25.5342217986034
Ethiopia,ETH,2005,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,27.4692733780288
Ethiopia,ETH,2004,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,29.9748264341873
Ethiopia,ETH,2003,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,33.0545119473905
Ethiopia,ETH,2002,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,31.343045565907
Ethiopia,ETH,2001,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,30.9002890383226
Ethiopia,ETH,2000,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,32.251853758782
Ethiopia,ETH,1999,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,33.1813247272251
Ethiopia,ETH,1998,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,33.9419834114842
Ethiopia,ETH,1997,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,31.7939361765114
Ethiopia,ETH,1996,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,31.8774643701287
Ethiopia,ETH,1995,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,34.6578411220496
Ethiopia,ETH,1994,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,35.4682696059271
Ethiopia,ETH,1993,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,35.2321842948921
Ethiopia,ETH,1992,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,38.2621964939451
Ethiopia,ETH,1991,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,34.1126065803011
Ethiopia,ETH,1990,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,30.6277738699555
Ethiopia,ETH,2017,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,30.9706861413279
Ethiopia,ETH,2016,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,32.363835522
Ethiopia,ETH,2015,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,15.4969467016778
Ethiopia,ETH,2014,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,12.0060752850471
Ethiopia,ETH,2013,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,24.2816385518965
Ethiopia,ETH,2012,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,23.5456030145791
Ethiopia,ETH,2011,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,9.59068880846683
Ethiopia,ETH,2010,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,22.2122622556817
Ethiopia,ETH,2009,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,21.6166243499624
Ethiopia,ETH,2008,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,21.0566895220579
Ethiopia,ETH,2007,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,79.2906777525874
Ethiopia,ETH,2006,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,19.8578089561896
Ethiopia,ETH,2005,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0.646619257845871
Ethiopia,ETH,2004,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,18.477268209886
Ethiopia,ETH,2003,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,17.7410465423503
Ethiopia,ETH,2002,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,16.9733804691353
Ethiopia,ETH,2001,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,16.1820272722735
Ethiopia,ETH,2000,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1.72193237203605
Ethiopia,ETH,2017,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,96.6
Ethiopia,ETH,2016,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,85.4
Ethiopia,ETH,2015,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,85
Ethiopia,ETH,2014,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,91.9825174825175
Ethiopia,ETH,2013,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,87.7351608276367
Ethiopia,ETH,2012,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,86.9629364013672
Ethiopia,ETH,2011,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,85.2
Ethiopia,ETH,2010,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,85.4461898803711
Ethiopia,ETH,2009,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,84.7055969238281
Ethiopia,ETH,2008,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,83.9778823852539
Ethiopia,ETH,2007,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,83.2631454467773
