Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
France,FRA,2015,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.10185369917219
France,FRA,2014,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.08202291575321
France,FRA,2013,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.31050153437464
France,FRA,2012,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.31659316435746
France,FRA,2011,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.31528298948888
France,FRA,2010,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.57721334867775
France,FRA,2009,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.52464752958569
France,FRA,2008,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.58910194670539
France,FRA,2007,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.57793635586042
France,FRA,2006,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.74010541942815
France,FRA,2005,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.93206864531416
France,FRA,2004,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.99064323415997
France,FRA,2003,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.0556274959923
France,FRA,2002,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.00716538154063
France,FRA,2001,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.05091109835806
France,FRA,2000,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.97920897917369
France,FRA,1999,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.12201148310623
France,FRA,1998,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.30525458900133
France,FRA,1997,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.3387047960414
France,FRA,1996,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.63604373298208
France,FRA,1995,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.40804649600304
France,FRA,1994,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.30022745820351
France,FRA,1993,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.63795068605657
France,FRA,1992,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.51240636206998
France,FRA,1991,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.69837990787257
France,FRA,1990,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.44753280318395
France,FRA,2017,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
France,FRA,2016,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
France,FRA,2015,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
France,FRA,2014,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
France,FRA,2013,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
France,FRA,2012,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
France,FRA,2011,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
France,FRA,2010,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
France,FRA,2009,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
France,FRA,2008,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
France,FRA,2007,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
France,FRA,2006,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
France,FRA,2005,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
France,FRA,2004,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
France,FRA,2003,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
France,FRA,2002,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
France,FRA,2001,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
France,FRA,2000,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
France,FRA,1999,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
France,FRA,1998,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
France,FRA,1997,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
France,FRA,1996,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
France,FRA,1995,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
France,FRA,1994,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
France,FRA,1993,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
France,FRA,1992,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
France,FRA,1991,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
France,FRA,1990,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
France,FRA,2017,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
France,FRA,2016,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
France,FRA,2015,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
France,FRA,2014,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
France,FRA,2013,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
France,FRA,2012,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
France,FRA,2011,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
France,FRA,2010,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
France,FRA,2009,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
France,FRA,2008,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
France,FRA,2007,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
France,FRA,2006,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
France,FRA,2005,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
France,FRA,2004,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
France,FRA,2003,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
France,FRA,2002,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
France,FRA,2001,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
France,FRA,2000,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
France,FRA,1999,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
France,FRA,1998,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
France,FRA,1997,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
France,FRA,1996,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
France,FRA,1995,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
France,FRA,1994,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
France,FRA,1993,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
France,FRA,1992,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
France,FRA,1991,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
France,FRA,1990,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
France,FRA,2017,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
France,FRA,2016,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
France,FRA,2015,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
France,FRA,2014,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
France,FRA,2013,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
France,FRA,2012,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
France,FRA,2011,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
France,FRA,2010,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
France,FRA,2009,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
France,FRA,2008,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
France,FRA,2007,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
France,FRA,2006,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
France,FRA,2005,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
France,FRA,2004,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
France,FRA,2003,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
France,FRA,2002,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
France,FRA,2001,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
France,FRA,2000,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
France,FRA,1999,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
France,FRA,1998,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
France,FRA,1997,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
France,FRA,1996,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
France,FRA,1995,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
France,FRA,1994,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
France,FRA,1993,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
France,FRA,1992,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
France,FRA,1991,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
France,FRA,1990,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
France,FRA,2015,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2.16044891338683
France,FRA,2014,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2.15702898563713
France,FRA,2013,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,4.29023817416265
France,FRA,2012,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,3.70112442613554
France,FRA,2011,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,3.11121096382835
France,FRA,2010,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,4.66342362458687
France,FRA,2009,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,4.52622474150261
France,FRA,2008,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,4.64731136669702
France,FRA,2007,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,5.00157868036512
France,FRA,2006,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,4.6369013332584
France,FRA,2005,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,5.37543110239667
France,FRA,2004,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,4.78890823090855
France,FRA,2003,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,5.21207328888129
France,FRA,2002,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,4.8752777125517
France,FRA,2001,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,4.38320441016274
France,FRA,2000,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,5.76624114323298
France,FRA,1999,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,6.35258049601237
France,FRA,1998,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,7.35550973256635
France,FRA,1997,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,5.16253306053196
France,FRA,1996,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,6.08178175818996
France,FRA,1995,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,5.40634078513684
France,FRA,1994,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,5.08709567987728
France,FRA,1993,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,5.26962402108786
France,FRA,1992,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,8.20241255100422
France,FRA,1991,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,9.56661913323827
France,FRA,1990,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,8.49067231704774
France,FRA,1989,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,9.10133966406796
France,FRA,1988,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,7.4883658951598
France,FRA,1987,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,8.3128343808608
France,FRA,1986,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,9.6352194978548
France,FRA,1985,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,13.2723599782808
France,FRA,1984,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,16.3166001865782
France,FRA,1983,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,20.4527371774688
France,FRA,1982,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,23.9679245011994
France,FRA,1981,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,21.4352574102964
France,FRA,1980,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,27.35165638068
France,FRA,1979,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,29.780553834382
France,FRA,1978,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,28.4781887726901
France,FRA,1977,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,27.183654074602
France,FRA,1976,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,28.3658073322743
France,FRA,1975,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,20.2839811326864
France,FRA,1974,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,19.0016430555481
France,FRA,1973,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,19.6572205054025
France,FRA,1972,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,22.5676251891052
France,FRA,1971,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,29.3694537661454
France,FRA,1970,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,30.552641974636
France,FRA,1969,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,38.474687227233
France,FRA,1968,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,40.7662480937084
