Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Gibraltar,GIB,2017,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Gibraltar,GIB,2016,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Gibraltar,GIB,2015,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Gibraltar,GIB,2014,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Gibraltar,GIB,2013,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Gibraltar,GIB,2012,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Gibraltar,GIB,2011,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Gibraltar,GIB,2010,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Gibraltar,GIB,2009,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Gibraltar,GIB,2008,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Gibraltar,GIB,2007,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Gibraltar,GIB,2006,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Gibraltar,GIB,2005,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Gibraltar,GIB,2004,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Gibraltar,GIB,2003,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Gibraltar,GIB,2002,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Gibraltar,GIB,2001,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Gibraltar,GIB,2000,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Gibraltar,GIB,1999,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Gibraltar,GIB,1998,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Gibraltar,GIB,1997,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Gibraltar,GIB,1996,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Gibraltar,GIB,1995,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Gibraltar,GIB,1994,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Gibraltar,GIB,1993,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Gibraltar,GIB,1992,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Gibraltar,GIB,1991,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Gibraltar,GIB,1990,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Gibraltar,GIB,2017,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Gibraltar,GIB,2016,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Gibraltar,GIB,2015,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Gibraltar,GIB,2014,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Gibraltar,GIB,2013,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Gibraltar,GIB,2012,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Gibraltar,GIB,2011,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Gibraltar,GIB,2010,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Gibraltar,GIB,2009,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Gibraltar,GIB,2008,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Gibraltar,GIB,2007,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Gibraltar,GIB,2006,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Gibraltar,GIB,2005,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Gibraltar,GIB,2004,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Gibraltar,GIB,2003,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Gibraltar,GIB,2002,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Gibraltar,GIB,2001,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Gibraltar,GIB,2000,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Gibraltar,GIB,1999,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Gibraltar,GIB,1998,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Gibraltar,GIB,1997,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Gibraltar,GIB,1996,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Gibraltar,GIB,1995,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Gibraltar,GIB,1994,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Gibraltar,GIB,1993,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Gibraltar,GIB,1992,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Gibraltar,GIB,1991,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
