Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Guinea-Bissau,GNB,2015,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,12.0192721522321
Guinea-Bissau,GNB,2014,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,12.3799109860733
Guinea-Bissau,GNB,2013,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,12.4485555819098
Guinea-Bissau,GNB,2012,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,12.3550751277897
Guinea-Bissau,GNB,2011,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,11.9498921831362
Guinea-Bissau,GNB,2010,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,12.8677153105557
Guinea-Bissau,GNB,2009,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,13.2251201291355
Guinea-Bissau,GNB,2008,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,13.4113222457166
Guinea-Bissau,GNB,2007,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,13.712356739285
Guinea-Bissau,GNB,2006,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,13.8551660533734
Guinea-Bissau,GNB,2005,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,13.9398056758148
Guinea-Bissau,GNB,2004,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,14.3115460710633
Guinea-Bissau,GNB,2003,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,14.4296075191591
Guinea-Bissau,GNB,2002,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,13.9849832645644
Guinea-Bissau,GNB,2001,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,13.6146776642322
Guinea-Bissau,GNB,2000,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,13.6887192161102
Guinea-Bissau,GNB,1999,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,14.386881426627
Guinea-Bissau,GNB,1998,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,13.9232836931484
Guinea-Bissau,GNB,1997,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,9.90795339748388
Guinea-Bissau,GNB,1996,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,10.3048525956206
Guinea-Bissau,GNB,1995,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,11.3404783211463
Guinea-Bissau,GNB,1994,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,11.6817231486829
Guinea-Bissau,GNB,1993,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,12.0549062456691
Guinea-Bissau,GNB,1992,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,12.1074538327917
Guinea-Bissau,GNB,1991,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,12.1359557103857
Guinea-Bissau,GNB,1990,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,12.6268288079288
Guinea-Bissau,GNB,2017,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,9.27338385927602
Guinea-Bissau,GNB,2016,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,8.38154700754341
Guinea-Bissau,GNB,2015,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,7.38662203786623
Guinea-Bissau,GNB,2014,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,5.82025689715166
Guinea-Bissau,GNB,2013,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,5.50706188840721
Guinea-Bissau,GNB,2012,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1.56148663429713
Guinea-Bissau,GNB,2011,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0.744027358254064
Guinea-Bissau,GNB,2010,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2.11541713305738
Guinea-Bissau,GNB,2009,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0
Guinea-Bissau,GNB,2008,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0
Guinea-Bissau,GNB,2007,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0
Guinea-Bissau,GNB,2006,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2.07724106337864
Guinea-Bissau,GNB,2017,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,48.3325614929199
Guinea-Bissau,GNB,2016,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,43.2102890014648
Guinea-Bissau,GNB,2015,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,38.0441741943359
Guinea-Bissau,GNB,2014,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,33.1
Guinea-Bissau,GNB,2013,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,27.9694862365723
Guinea-Bissau,GNB,2012,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,27.6135921478271
Guinea-Bissau,GNB,2011,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,27.2662258148193
Guinea-Bissau,GNB,2010,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,11.8
Guinea-Bissau,GNB,2009,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,26.6052494049072
Guinea-Bissau,GNB,2008,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,26.2938690185547
Guinea-Bissau,GNB,2007,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,25.9954681396484
Guinea-Bissau,GNB,2006,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,34.400406504065
Guinea-Bissau,GNB,2017,Access to electricity (% of population),EG.ELC.ACCS.ZS,26.0473480224609
Guinea-Bissau,GNB,2016,Access to electricity (% of population),EG.ELC.ACCS.ZS,23.1952590942383
Guinea-Bissau,GNB,2015,Access to electricity (% of population),EG.ELC.ACCS.ZS,20.3005084991455
Guinea-Bissau,GNB,2014,Access to electricity (% of population),EG.ELC.ACCS.ZS,17.2
Guinea-Bissau,GNB,2013,Access to electricity (% of population),EG.ELC.ACCS.ZS,14.7862949371338
Guinea-Bissau,GNB,2012,Access to electricity (% of population),EG.ELC.ACCS.ZS,12.2188835144043
Guinea-Bissau,GNB,2011,Access to electricity (% of population),EG.ELC.ACCS.ZS,11.4876384735107
Guinea-Bissau,GNB,2010,Access to electricity (% of population),EG.ELC.ACCS.ZS,6
Guinea-Bissau,GNB,2009,Access to electricity (% of population),EG.ELC.ACCS.ZS,4.7
Guinea-Bissau,GNB,2008,Access to electricity (% of population),EG.ELC.ACCS.ZS,9.56083869934082
Guinea-Bissau,GNB,2007,Access to electricity (% of population),EG.ELC.ACCS.ZS,8.98585319519043
Guinea-Bissau,GNB,2006,Access to electricity (% of population),EG.ELC.ACCS.ZS,14.5361990950226
Guinea-Bissau,GNB,2015,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Guinea-Bissau,GNB,2014,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Guinea-Bissau,GNB,2013,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Guinea-Bissau,GNB,2012,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Guinea-Bissau,GNB,2011,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Guinea-Bissau,GNB,2010,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Guinea-Bissau,GNB,2009,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Guinea-Bissau,GNB,2008,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Guinea-Bissau,GNB,2007,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Guinea-Bissau,GNB,2006,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Guinea-Bissau,GNB,2005,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Guinea-Bissau,GNB,2004,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Guinea-Bissau,GNB,2003,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Guinea-Bissau,GNB,2002,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Guinea-Bissau,GNB,2001,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Guinea-Bissau,GNB,2000,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Guinea-Bissau,GNB,1999,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Guinea-Bissau,GNB,1998,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Guinea-Bissau,GNB,1997,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Guinea-Bissau,GNB,1996,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Guinea-Bissau,GNB,1995,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Guinea-Bissau,GNB,1994,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Guinea-Bissau,GNB,1993,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Guinea-Bissau,GNB,1992,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Guinea-Bissau,GNB,1991,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Guinea-Bissau,GNB,1990,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Guinea-Bissau,GNB,2015,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,86.8517939369185
Guinea-Bissau,GNB,2014,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,87.0600171337502
Guinea-Bissau,GNB,2013,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,87.4224238829869
Guinea-Bissau,GNB,2012,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,87.6063562539845
Guinea-Bissau,GNB,2011,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,87.7151251518762
Guinea-Bissau,GNB,2010,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,87.8071288610203
Guinea-Bissau,GNB,2009,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,87.894751858964
Guinea-Bissau,GNB,2008,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,88.4203449089405
Guinea-Bissau,GNB,2007,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,87.9049051977438
Guinea-Bissau,GNB,2006,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,88.2871479663404
Guinea-Bissau,GNB,2005,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,88.5267811346138
Guinea-Bissau,GNB,2004,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,88.5528656025534
Guinea-Bissau,GNB,2003,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,89.0477900528532
Guinea-Bissau,GNB,2002,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,91.0368214497741
Guinea-Bissau,GNB,2001,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,91.2071581686362
Guinea-Bissau,GNB,2000,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,91.2377248494202
Guinea-Bissau,GNB,1999,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,88.0584068078968
Guinea-Bissau,GNB,1998,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,89.0192139141756
Guinea-Bissau,GNB,1997,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,88.3634387430524
Guinea-Bissau,GNB,1996,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,89.4036101078025
Guinea-Bissau,GNB,1995,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,88.5511211251063
Guinea-Bissau,GNB,1994,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,88.5234001923807
