Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
India,IND,2015,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.73091044855314
India,IND,2014,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.96014949895526
India,IND,2013,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.98862544005017
India,IND,2012,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.19964331645046
India,IND,2011,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.23298571103505
India,IND,2010,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.35317924225662
India,IND,2009,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.64671193201939
India,IND,2008,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.56214240997603
India,IND,2007,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.50764929853643
India,IND,2006,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.66184904777442
India,IND,2005,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.87751946572999
India,IND,2004,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,6.18110787146406
India,IND,2003,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,6.33392172930991
India,IND,2002,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,6.67200102251513
India,IND,2001,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,6.72480637599239
India,IND,2000,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,6.94959487076476
India,IND,1999,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.05054707851972
India,IND,1998,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.25603779427374
India,IND,1997,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.52418202136383
India,IND,1996,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.53016367474512
India,IND,1995,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.85816030317115
India,IND,1994,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.99411301080985
India,IND,1993,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.21116167819759
India,IND,1992,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.40018852696283
India,IND,1991,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.54836655208097
India,IND,1990,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.2915979089233
India,IND,2017,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,89.3065549150273
India,IND,2016,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,85.2142842338536
India,IND,2015,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,83.3665448835227
India,IND,2014,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,77.1164074895045
India,IND,2013,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,73.5527883241819
India,IND,2012,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,72.3627471731482
India,IND,2011,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,56.0959263645274
India,IND,2010,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,68.3929975191765
India,IND,2009,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,65.6914279234875
India,IND,2008,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,62.1273113253739
India,IND,2007,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,60.3947354433182
India,IND,2006,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,57.3478065341076
India,IND,2005,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,56.9791821713175
India,IND,2004,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,53.5946542990536
India,IND,2003,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,53.570502659091
India,IND,2002,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,51.4674691280159
India,IND,2001,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,43.5028780313472
India,IND,2000,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,48.1057849948688
India,IND,1999,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,48.2629914732357
India,IND,1998,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,44.4073227002228
India,IND,1997,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,42.5352938922242
India,IND,1996,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,40.7393126787001
India,IND,1995,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,38.9050407333488
India,IND,1994,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,37.1417310238133
India,IND,1993,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,39.5825341538123
India,IND,2017,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.2068023681641
India,IND,2016,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,98.5279083251953
India,IND,2015,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,97.5
