Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Jordan,JOR,2015,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.64266142520708
Jordan,JOR,2014,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.50893844675103
Jordan,JOR,2013,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.39134860010471
Jordan,JOR,2012,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.58713528584879
Jordan,JOR,2011,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.23850913775842
Jordan,JOR,2010,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.3700287327299
Jordan,JOR,2009,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.69547415019559
Jordan,JOR,2008,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.69429809728008
Jordan,JOR,2007,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.13349850443959
Jordan,JOR,2006,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.27945553991479
Jordan,JOR,2005,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.55916155963056
Jordan,JOR,2004,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.60025606005277
Jordan,JOR,2003,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.05825527821593
Jordan,JOR,2002,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.15331588997916
Jordan,JOR,2001,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.19035301629784
Jordan,JOR,2000,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.51895267920818
Jordan,JOR,1999,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.49537088174717
Jordan,JOR,1998,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.70043932281147
Jordan,JOR,1997,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.67778598767429
Jordan,JOR,1996,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.7405036152523
Jordan,JOR,1995,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.71166039932893
Jordan,JOR,1994,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.69228794049164
Jordan,JOR,1993,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.57406148392484
Jordan,JOR,1992,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.88774478198736
Jordan,JOR,1991,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,6.21947297410416
Jordan,JOR,1990,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,6.12700146494079
Jordan,JOR,2017,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Jordan,JOR,2016,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Jordan,JOR,2015,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Jordan,JOR,2014,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,99.9204254488501
Jordan,JOR,2013,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,99.5613274350955
Jordan,JOR,2012,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,99.5
Jordan,JOR,2011,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,97.6427740480752
Jordan,JOR,2010,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,95.9940739195391
Jordan,JOR,2009,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,98.2730366051638
Jordan,JOR,2008,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,95.4988062021183
Jordan,JOR,2007,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,97.8655060734678
Jordan,JOR,2006,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,95.7438148556555
Jordan,JOR,2005,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,97.5452766433752
Jordan,JOR,2004,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,97.725812089792
Jordan,JOR,2003,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,97.0134723120857
Jordan,JOR,2002,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,98.7785105559796
Jordan,JOR,2001,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,95.8032385114732
Jordan,JOR,2000,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,95.0820336308532
Jordan,JOR,1999,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,94.3401806632911
Jordan,JOR,1998,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,93.6208327799469
Jordan,JOR,1997,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,95.6654910979116
Jordan,JOR,1996,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,92.4086652333951
Jordan,JOR,1995,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,91.9406660480294
