Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Kazakhstan,KAZ,2015,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.92285245133914
Kazakhstan,KAZ,2014,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.87157391582088
Kazakhstan,KAZ,2013,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.41811119296808
Kazakhstan,KAZ,2012,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.06809238310738
Kazakhstan,KAZ,2011,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.83546707625359
Kazakhstan,KAZ,2010,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.46549271291056
Kazakhstan,KAZ,2009,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.34151065168116
Kazakhstan,KAZ,2008,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,9.29101632418071
Kazakhstan,KAZ,2007,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,9.07897749929159
Kazakhstan,KAZ,2006,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,9.19008023975301
Kazakhstan,KAZ,2005,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.4262417521498
Kazakhstan,KAZ,2004,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,9.22752906318449
Kazakhstan,KAZ,2003,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.58278977688473
Kazakhstan,KAZ,2002,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.64825567394444
Kazakhstan,KAZ,2001,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.25369610347573
Kazakhstan,KAZ,2000,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,9.67718790050026
Kazakhstan,KAZ,1999,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,10.697754958186
Kazakhstan,KAZ,1998,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,12.031307367896
Kazakhstan,KAZ,1997,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,11.8499056421893
Kazakhstan,KAZ,1996,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,13.8388754591485
Kazakhstan,KAZ,1995,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,16.0211870889191
Kazakhstan,KAZ,1994,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,16.366955925764
Kazakhstan,KAZ,1993,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,16.1464349069446
Kazakhstan,KAZ,1992,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,17.6146753575292
Kazakhstan,KAZ,1991,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,15.8565071829177
Kazakhstan,KAZ,1990,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,13.8302914510473
Kazakhstan,KAZ,2017,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Kazakhstan,KAZ,2016,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Kazakhstan,KAZ,2015,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Kazakhstan,KAZ,2014,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,99.9499344310127
Kazakhstan,KAZ,2013,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,99.7901481810513
Kazakhstan,KAZ,2012,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,99.7579014779774
Kazakhstan,KAZ,2011,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,99.5713534071595
Kazakhstan,KAZ,2010,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,99.0018582261076
Kazakhstan,KAZ,2009,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Kazakhstan,KAZ,2008,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,98.9242946429321
Kazakhstan,KAZ,2007,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,98.9628540412323
Kazakhstan,KAZ,2006,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,99.6857346412134
Kazakhstan,KAZ,2005,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,99.0372401390788
Kazakhstan,KAZ,2004,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,99.0107229139699
Kazakhstan,KAZ,2003,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,98.9077271237264
Kazakhstan,KAZ,2002,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,98.7364247979218
Kazakhstan,KAZ,2001,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,98.5154612444198
Kazakhstan,KAZ,2000,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,98.2633804844247
Kazakhstan,KAZ,1999,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,93.9423533327494
Kazakhstan,KAZ,1998,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,97.7380240557037
Kazakhstan,KAZ,1997,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,97.4999318088777
Kazakhstan,KAZ,1996,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,97.2989966384392
