Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Lao PDR,LAO,2015,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.17189025046944
Lao PDR,LAO,2014,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.30241041586574
Lao PDR,LAO,2013,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.50492302855265
Lao PDR,LAO,2012,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.51121060752739
Lao PDR,LAO,2011,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.71189700116424
Lao PDR,LAO,2010,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.00056298404235
Lao PDR,LAO,2009,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.14769838636543
Lao PDR,LAO,2008,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.31856196978629
Lao PDR,LAO,2007,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.52314472475102
Lao PDR,LAO,2006,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.09018823632922
Lao PDR,LAO,2005,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.37927351366848
Lao PDR,LAO,2004,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.6446147568295
Lao PDR,LAO,2003,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.71178339563886
Lao PDR,LAO,2002,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.98871162347996
Lao PDR,LAO,2001,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.10056971095381
Lao PDR,LAO,2000,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.42195520712951
Lao PDR,LAO,1999,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.59296016782184
Lao PDR,LAO,1998,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.76639231650081
Lao PDR,LAO,1997,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.85329987807082
Lao PDR,LAO,1996,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,6.06205904498543
Lao PDR,LAO,1995,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,6.30938586452983
Lao PDR,LAO,1994,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,6.63404443364601
Lao PDR,LAO,1993,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.11877175596494
Lao PDR,LAO,1992,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.48710880975962
Lao PDR,LAO,1991,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.83922573446131
Lao PDR,LAO,1990,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.05148654823041
Lao PDR,LAO,2017,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,90.5104835477527
Lao PDR,LAO,2016,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,86.7611649203298
Lao PDR,LAO,2015,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,85.6909291890972
Lao PDR,LAO,2014,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,76.0640909535773
Lao PDR,LAO,2013,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,71.083623745479
Lao PDR,LAO,2012,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,66.7857008293217
Lao PDR,LAO,2011,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,58.0129840961962
Lao PDR,LAO,2010,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,59.3170987686267
Lao PDR,LAO,2009,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,55.7416967848459
Lao PDR,LAO,2008,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,52.5910697517922
Lao PDR,LAO,2007,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,48.8750946030495
