Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Liberia,LBR,2015,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,25.9923426815392
Liberia,LBR,2014,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,24.0187497795465
Liberia,LBR,2013,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,23.788826769609
Liberia,LBR,2012,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,25.5463865498549
Liberia,LBR,2011,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,26.2878200177582
Liberia,LBR,2010,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,27.1255432124813
Liberia,LBR,2009,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,26.3728688147133
Liberia,LBR,2008,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,27.0583798945019
Liberia,LBR,2007,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,28.4998889605409
Liberia,LBR,2006,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,30.7406715782951
Liberia,LBR,2005,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,32.0571439934913
Liberia,LBR,2004,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,31.8529944154599
Liberia,LBR,2003,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,31.1762953244223
Liberia,LBR,2002,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,20.7666799850037
Liberia,LBR,2001,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,20.7259978229334
Liberia,LBR,2000,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,20.1558126865166
Liberia,LBR,1999,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,23.3790358974996
Liberia,LBR,1998,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,25.5754442463628
Liberia,LBR,1997,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,29.7876731450065
Liberia,LBR,1996,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,55.1814801791513
Liberia,LBR,1995,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,57.988164574364
Liberia,LBR,1994,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,55.0651874027966
Liberia,LBR,1993,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,45.055830440604
Liberia,LBR,1992,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,31.8606155854694
Liberia,LBR,1991,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,21.981874282175
Liberia,LBR,1990,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,20.6941351492246
Liberia,LBR,2017,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,6.5873123890643
Liberia,LBR,2016,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,5.45498651093242
Liberia,LBR,2015,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,4.96423401944107
Liberia,LBR,2014,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,4.12869763642378
Liberia,LBR,2013,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,3.46262654625727
Liberia,LBR,2012,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2.49378392734742
Liberia,LBR,2011,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1.21625144465769
Liberia,LBR,2010,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1.10010617952073
Liberia,LBR,2009,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0.455571053376458
Liberia,LBR,2008,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0
Liberia,LBR,2007,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0
Liberia,LBR,2017,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,35.9806861877441
Liberia,LBR,2016,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,34
Liberia,LBR,2015,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,25.7831783294678
Liberia,LBR,2014,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,14.8
Liberia,LBR,2013,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,16.4
Liberia,LBR,2012,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,14.9267330169678
Liberia,LBR,2011,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,7.2
Liberia,LBR,2010,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,9.45423889160156
Liberia,LBR,2009,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,3.5
Liberia,LBR,2008,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,4.03018045425415
Liberia,LBR,2007,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,6.9
Liberia,LBR,2017,Access to electricity (% of population),EG.ELC.ACCS.ZS,21.4888687133789
Liberia,LBR,2016,Access to electricity (% of population),EG.ELC.ACCS.ZS,19.8
Liberia,LBR,2015,Access to electricity (% of population),EG.ELC.ACCS.ZS,15.3362312316895
Liberia,LBR,2014,Access to electricity (% of population),EG.ELC.ACCS.ZS,9.4
Liberia,LBR,2013,Access to electricity (% of population),EG.ELC.ACCS.ZS,9.8
Liberia,LBR,2012,Access to electricity (% of population),EG.ELC.ACCS.ZS,8.53408432006836
Liberia,LBR,2011,Access to electricity (% of population),EG.ELC.ACCS.ZS,4.1
Liberia,LBR,2010,Access to electricity (% of population),EG.ELC.ACCS.ZS,5.0944676399231
Liberia,LBR,2009,Access to electricity (% of population),EG.ELC.ACCS.ZS,1.9
Liberia,LBR,2008,Access to electricity (% of population),EG.ELC.ACCS.ZS,1.83453071117401
Liberia,LBR,2007,Access to electricity (% of population),EG.ELC.ACCS.ZS,3
Liberia,LBR,2015,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Liberia,LBR,2014,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Liberia,LBR,2013,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Liberia,LBR,2012,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Liberia,LBR,2011,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Liberia,LBR,2010,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Liberia,LBR,2009,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Liberia,LBR,2008,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Liberia,LBR,2007,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Liberia,LBR,2006,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Liberia,LBR,2005,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Liberia,LBR,2004,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Liberia,LBR,2003,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Liberia,LBR,2002,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Liberia,LBR,2001,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Liberia,LBR,2000,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Liberia,LBR,1999,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Liberia,LBR,1998,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Liberia,LBR,1997,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Liberia,LBR,1996,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Liberia,LBR,1995,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Liberia,LBR,1994,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Liberia,LBR,1993,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Liberia,LBR,1992,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Liberia,LBR,1991,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Liberia,LBR,1990,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Liberia,LBR,2015,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,83.84704333625
Liberia,LBR,2014,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,83.9355343251113
Liberia,LBR,2013,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,86.9896264925097
Liberia,LBR,2012,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,85.1799364456257
Liberia,LBR,2011,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,87.3679743918266
Liberia,LBR,2010,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,89.2054669015124
Liberia,LBR,2009,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,91.5130245095015
Liberia,LBR,2008,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,91.4943941514789
Liberia,LBR,2007,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,89.84999737284
Liberia,LBR,2006,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,87.6347056578426
Liberia,LBR,2005,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,88.2274138557077
Liberia,LBR,2004,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,90.1840627229306
Liberia,LBR,2003,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,90.7150332808808
Liberia,LBR,2002,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,91.3993997204887
Liberia,LBR,2001,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,90.7242959525428
Liberia,LBR,2000,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,90.826124782357
Liberia,LBR,1999,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,90.0509513558389
Liberia,LBR,1998,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,88.0034271010486
Liberia,LBR,1997,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,87.6524541679149
Liberia,LBR,1996,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,86.9857347954309
Liberia,LBR,1995,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,86.5974066868768
Liberia,LBR,1994,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,86.8545270972531
Liberia,LBR,1993,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,87.4436129389303
Liberia,LBR,1992,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,88.9272423563431
Liberia,LBR,1991,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,90.0681413831512
Liberia,LBR,1990,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,88.8172391382016
Liberia,LBR,2014,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Liberia,LBR,2013,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
