Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
"Macao SAR, China",MAC,2015,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,0.657095507447482
"Macao SAR, China",MAC,2014,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,0.460209318490705
"Macao SAR, China",MAC,2013,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,0.426175060295184
"Macao SAR, China",MAC,2012,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,0.48501553195675
"Macao SAR, China",MAC,2011,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,0.527177719830362
"Macao SAR, China",MAC,2010,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,0.627767842827193
"Macao SAR, China",MAC,2009,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,0.928279753360362
"Macao SAR, China",MAC,2008,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,0.704869769884092
"Macao SAR, China",MAC,2007,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,0.724593148449291
"Macao SAR, China",MAC,2006,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,0.785525683462062
"Macao SAR, China",MAC,2005,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,0.906361766732085
"Macao SAR, China",MAC,2004,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,0.896604227676006
"Macao SAR, China",MAC,2003,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,1.02339590199567
"Macao SAR, China",MAC,2002,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,1.13457837715586
"Macao SAR, China",MAC,2001,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,1.35333525774832
"Macao SAR, China",MAC,2000,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,1.46238213304455
"Macao SAR, China",MAC,1999,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,1.4389351983864
"Macao SAR, China",MAC,1998,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,1.43204631151869
"Macao SAR, China",MAC,1997,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,1.31791076481259
"Macao SAR, China",MAC,1996,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,1.23820502215431
"Macao SAR, China",MAC,1995,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,1.07750472956188
"Macao SAR, China",MAC,1994,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,1.13362077882132
"Macao SAR, China",MAC,1993,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,1.0975450551862
"Macao SAR, China",MAC,1992,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,1.0578936493259
"Macao SAR, China",MAC,1991,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,1.20111886125882
"Macao SAR, China",MAC,1990,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,1.17297761107691
"Macao SAR, China",MAC,2017,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
"Macao SAR, China",MAC,2016,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
"Macao SAR, China",MAC,2015,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
"Macao SAR, China",MAC,2014,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
"Macao SAR, China",MAC,2013,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
"Macao SAR, China",MAC,2012,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
"Macao SAR, China",MAC,2011,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
"Macao SAR, China",MAC,2010,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
"Macao SAR, China",MAC,2009,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
"Macao SAR, China",MAC,2008,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
"Macao SAR, China",MAC,2007,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
"Macao SAR, China",MAC,2006,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
"Macao SAR, China",MAC,2005,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
"Macao SAR, China",MAC,2004,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
"Macao SAR, China",MAC,2003,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
"Macao SAR, China",MAC,2002,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
"Macao SAR, China",MAC,2001,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
"Macao SAR, China",MAC,2000,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
"Macao SAR, China",MAC,1999,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
"Macao SAR, China",MAC,1998,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
"Macao SAR, China",MAC,1997,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
"Macao SAR, China",MAC,1996,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
"Macao SAR, China",MAC,1995,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
"Macao SAR, China",MAC,1994,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
"Macao SAR, China",MAC,2017,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
"Macao SAR, China",MAC,2016,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
"Macao SAR, China",MAC,2015,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
"Macao SAR, China",MAC,2014,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
"Macao SAR, China",MAC,2013,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
"Macao SAR, China",MAC,2012,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
"Macao SAR, China",MAC,2011,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
"Macao SAR, China",MAC,2010,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
"Macao SAR, China",MAC,2009,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
"Macao SAR, China",MAC,2008,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
