Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Malawi,MWI,2015,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.08477835402939
Malawi,MWI,2014,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.46140910585647
Malawi,MWI,2013,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.73289664892671
Malawi,MWI,2012,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.95591462327377
Malawi,MWI,2011,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,6.04492706349486
Malawi,MWI,2010,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,6.27178978796873
Malawi,MWI,2009,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,6.48283266369188
Malawi,MWI,2008,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.06586227499185
Malawi,MWI,2007,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.30170405366637
Malawi,MWI,2006,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.82272504791989
Malawi,MWI,2005,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.18330098587162
Malawi,MWI,2004,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.48849822304275
Malawi,MWI,2003,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.81385805191382
Malawi,MWI,2002,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,9.51226462189883
Malawi,MWI,2001,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,9.23304170588388
Malawi,MWI,2000,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.59050576316999
Malawi,MWI,1999,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.65047318423288
Malawi,MWI,1998,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,6.91407384754445
Malawi,MWI,1997,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.11648030640967
Malawi,MWI,1996,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.38107616627708
Malawi,MWI,1995,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.01688136452401
Malawi,MWI,1994,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,9.53164611320447
Malawi,MWI,1993,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.1223587144936
Malawi,MWI,1992,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,9.27736574883937
Malawi,MWI,1991,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.48032009631058
Malawi,MWI,1990,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,9.13607591233821
Malawi,MWI,2017,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,3.70944857013131
Malawi,MWI,2016,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,4.8715844950607
Malawi,MWI,2015,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,3.41219990801549
Malawi,MWI,2014,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,5.32163384291191
Malawi,MWI,2013,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,3.75615176548623
Malawi,MWI,2012,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1.82181273773707
Malawi,MWI,2011,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2.95385702940359
