Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
"Micronesia, Fed. Sts.",FSM,2015,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,6.58744661345086
"Micronesia, Fed. Sts.",FSM,2014,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,6.84424620396698
"Micronesia, Fed. Sts.",FSM,2013,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,6.2416262551709
"Micronesia, Fed. Sts.",FSM,2012,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.77228371873591
"Micronesia, Fed. Sts.",FSM,2011,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.298164981579
"Micronesia, Fed. Sts.",FSM,2010,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.00968991104125
"Micronesia, Fed. Sts.",FSM,2009,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.14816255097736
"Micronesia, Fed. Sts.",FSM,2008,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.34851782470564
"Micronesia, Fed. Sts.",FSM,2007,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.9080466683793
"Micronesia, Fed. Sts.",FSM,2006,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.19849331784213
"Micronesia, Fed. Sts.",FSM,2005,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.02673665170692
"Micronesia, Fed. Sts.",FSM,2004,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,6.20280841484465
"Micronesia, Fed. Sts.",FSM,2003,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.99417404508931
