Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Nauru,NRU,2015,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.3650096938977
Nauru,NRU,2017,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.6505355834961
Nauru,NRU,2016,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.4660491943359
Nauru,NRU,2015,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99
Nauru,NRU,2014,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.0998992919922
Nauru,NRU,2013,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,98.9221572875977
Nauru,NRU,2012,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.1010437011719
Nauru,NRU,2011,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99
Nauru,NRU,2010,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,98.505241394043
Nauru,NRU,2009,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,98.2960968017578
Nauru,NRU,2008,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,98.1692581176758
Nauru,NRU,2007,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,98.0553970336914
Nauru,NRU,2017,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.5531692504883
Nauru,NRU,2016,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.4298934936523
Nauru,NRU,2015,Access to electricity (% of population),EG.ELC.ACCS.ZS,99
Nauru,NRU,2014,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.1949920654297
Nauru,NRU,2013,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.0993499755859
Nauru,NRU,2012,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.0364608764648
Nauru,NRU,2011,Access to electricity (% of population),EG.ELC.ACCS.ZS,99
Nauru,NRU,2010,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.0043792724609
Nauru,NRU,2009,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.0620803833008
Nauru,NRU,2008,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.158561706543
Nauru,NRU,2007,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.8
Nauru,NRU,2015,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0.398406374501992
Nauru,NRU,2014,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0.398406374501992
Nauru,NRU,2013,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0.411522633744856
Nauru,NRU,2012,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0.421940928270042
Nauru,NRU,2011,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0.432900432900433
Nauru,NRU,2010,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0.442477876106195
Nauru,NRU,2009,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0.469483568075117
Nauru,NRU,2008,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0.512820512820513
Nauru,NRU,2007,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0.497512437810945
Nauru,NRU,2006,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0.609756097560976
Nauru,NRU,2005,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Nauru,NRU,2004,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Nauru,NRU,2003,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Nauru,NRU,2002,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Nauru,NRU,2001,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Nauru,NRU,2000,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Nauru,NRU,1999,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Nauru,NRU,1998,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Nauru,NRU,1997,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Nauru,NRU,1996,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Nauru,NRU,1995,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
