Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
New Caledonia,NCL,2017,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
New Caledonia,NCL,2016,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
New Caledonia,NCL,2015,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
New Caledonia,NCL,2014,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
New Caledonia,NCL,2013,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
New Caledonia,NCL,2012,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
New Caledonia,NCL,2011,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
New Caledonia,NCL,2010,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
New Caledonia,NCL,2009,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
New Caledonia,NCL,2008,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
New Caledonia,NCL,2007,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
New Caledonia,NCL,2006,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
New Caledonia,NCL,2005,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
New Caledonia,NCL,2004,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
New Caledonia,NCL,2003,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
New Caledonia,NCL,2002,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
New Caledonia,NCL,2001,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
New Caledonia,NCL,2000,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
New Caledonia,NCL,1999,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
New Caledonia,NCL,1998,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
New Caledonia,NCL,1997,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
New Caledonia,NCL,1996,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
New Caledonia,NCL,1995,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
New Caledonia,NCL,2017,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
New Caledonia,NCL,2016,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
New Caledonia,NCL,2015,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
New Caledonia,NCL,2014,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
New Caledonia,NCL,2013,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
New Caledonia,NCL,2012,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
New Caledonia,NCL,2011,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
New Caledonia,NCL,2010,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
New Caledonia,NCL,2009,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
New Caledonia,NCL,2008,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
New Caledonia,NCL,2007,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
New Caledonia,NCL,2006,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
New Caledonia,NCL,2005,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
New Caledonia,NCL,2004,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
New Caledonia,NCL,2003,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
New Caledonia,NCL,2002,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
New Caledonia,NCL,2001,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
New Caledonia,NCL,2000,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
New Caledonia,NCL,1999,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
New Caledonia,NCL,1998,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
New Caledonia,NCL,1997,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
New Caledonia,NCL,1996,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
New Caledonia,NCL,1995,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
New Caledonia,NCL,2017,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
New Caledonia,NCL,2016,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
New Caledonia,NCL,2015,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
New Caledonia,NCL,2014,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
New Caledonia,NCL,2013,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
New Caledonia,NCL,2012,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
New Caledonia,NCL,2011,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
New Caledonia,NCL,2010,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
New Caledonia,NCL,2009,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
New Caledonia,NCL,2008,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
New Caledonia,NCL,2007,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
New Caledonia,NCL,2006,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
New Caledonia,NCL,2005,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
New Caledonia,NCL,2004,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
New Caledonia,NCL,2003,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
New Caledonia,NCL,2002,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
New Caledonia,NCL,2001,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
New Caledonia,NCL,2000,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
New Caledonia,NCL,1999,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
New Caledonia,NCL,1998,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
New Caledonia,NCL,1997,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
New Caledonia,NCL,1996,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
New Caledonia,NCL,1995,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
New Caledonia,NCL,2015,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,14.0947086721567
New Caledonia,NCL,2014,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,11.6734851101134
New Caledonia,NCL,2013,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,20.5091057124726
New Caledonia,NCL,2012,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,20.1104938568388
New Caledonia,NCL,2011,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,18.8586102317756
New Caledonia,NCL,2010,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,15.0389342339807
New Caledonia,NCL,2009,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,22.5718964282059
New Caledonia,NCL,2008,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,26.4064660214825
New Caledonia,NCL,2007,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,22.1703011422638
New Caledonia,NCL,2006,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,16.8803418803419
New Caledonia,NCL,2005,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,18.9591078066914
New Caledonia,NCL,2004,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,20.0834326579261
