Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Panama,PAN,2015,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.17353444437206
Panama,PAN,2014,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.27362063757185
Panama,PAN,2013,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.27330830041428
Panama,PAN,2012,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.46725248400315
Panama,PAN,2011,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.61021469098194
Panama,PAN,2010,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.68957149562487
Panama,PAN,2009,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.65837692788443
Panama,PAN,2008,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.44722128270945
Panama,PAN,2007,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.65124336226192
Panama,PAN,2006,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.1234617783699
Panama,PAN,2005,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.17260679296318
Panama,PAN,2004,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.04942991960062
Panama,PAN,2003,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.32405797304932
Panama,PAN,2002,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.45991934231089
Panama,PAN,2001,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.89275965556428
Panama,PAN,2000,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.45341338129041
Panama,PAN,1999,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.50182550831659
Panama,PAN,1998,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.69187219617676
Panama,PAN,1997,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.4172232228847
Panama,PAN,1996,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.4999103747235
Panama,PAN,1995,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.36633528777058
Panama,PAN,1994,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.37585510436448
Panama,PAN,1993,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.29716813553818
Panama,PAN,1992,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.42761888520256
Panama,PAN,1991,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.25345967383329
Panama,PAN,1990,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.28389680634323
Panama,PAN,2017,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Panama,PAN,2016,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,91.1897684464415
Panama,PAN,2015,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,86.0087107104081
Panama,PAN,2014,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,83.0370694593855
Panama,PAN,2013,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,71.1997273385154
Panama,PAN,2012,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,77.351429268216
Panama,PAN,2011,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,75.1456111906974
Panama,PAN,2010,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,64.7068796175199
Panama,PAN,2009,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,71.425424435891
Panama,PAN,2008,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,69.4872501180974
Panama,PAN,2007,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,67.6260205926514
Panama,PAN,2006,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,65.8016297868391
Panama,PAN,2005,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,63.9777735169582
Panama,PAN,2004,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,62.116873778336
Panama,PAN,2003,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,71.4583262206432
Panama,PAN,2002,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,58.2144351231513
Panama,PAN,2001,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,56.2071825576643
Panama,PAN,2000,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,55.4234617811674
Panama,PAN,1999,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,52.7201242134636
Panama,PAN,1998,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,51.3874667788204
Panama,PAN,1997,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,50.1387923335344
Panama,PAN,1996,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,48.981444150954
Panama,PAN,1995,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,47.9108653814335
Panama,PAN,1994,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,46.9082528095215
Panama,PAN,1993,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,45.9643711975151
Panama,PAN,1992,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,45.0652319594165
Panama,PAN,1991,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,44.2048228928033
Panama,PAN,1990,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,40.5238796078524
Panama,PAN,2017,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Panama,PAN,2016,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.5881881713867
Panama,PAN,2015,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.366081237793
Panama,PAN,2014,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.1461029052734
