Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Philippines,PHL,2015,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.12231563959038
Philippines,PHL,2014,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.0344437814325
Philippines,PHL,2013,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.01986107421038
Philippines,PHL,2012,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.12177352510576
Philippines,PHL,2011,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.13116202954533
Philippines,PHL,2010,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.2242384393983
Philippines,PHL,2009,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.28042498088548
Philippines,PHL,2008,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.48479236555124
Philippines,PHL,2007,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.49753743597932
Philippines,PHL,2006,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.72148508541311
Philippines,PHL,2005,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.94546367956466
Philippines,PHL,2004,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.1271305760466
Philippines,PHL,2003,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.41767017844206
Philippines,PHL,2002,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.62542723532896
Philippines,PHL,2001,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.72941697238168
Philippines,PHL,2000,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.08219045613528
Philippines,PHL,1999,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.12771056073635
Philippines,PHL,1998,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.14929918880025
Philippines,PHL,1997,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.97647559138116
Philippines,PHL,1996,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.97380856867206
Philippines,PHL,1995,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.09057811674976
Philippines,PHL,1994,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.08659491084176
Philippines,PHL,1993,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.95497669941211
Philippines,PHL,1992,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.06362581798896
Philippines,PHL,1991,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.85965389022896
Philippines,PHL,1990,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.8385166193373
Philippines,PHL,2017,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,90.0231666346295
Philippines,PHL,2016,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,88.5840040529102
Philippines,PHL,2015,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,83.1949801733992
Philippines,PHL,2014,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,84.8748092879687
Philippines,PHL,2013,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,81.8996931710397
Philippines,PHL,2012,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,81.3913306860381
Philippines,PHL,2011,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,81.3741120131877
Philippines,PHL,2010,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,78.0235533946128
Philippines,PHL,2009,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,76.4322307925147
Philippines,PHL,2008,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,74.6331743588422
Philippines,PHL,2007,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,73.3690867997593
Philippines,PHL,2006,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,71.8604061092468
Philippines,PHL,2005,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,70.3336652161306
Philippines,PHL,2004,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,84.5774153264759
Philippines,PHL,2003,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,63.5447157607288
Philippines,PHL,2002,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,65.440024300492
Philippines,PHL,2001,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,63.7053423580096
Philippines,PHL,2000,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,61.94021209175
Philippines,PHL,1999,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,56.1771338673055
Philippines,PHL,1998,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,54.2250586309846
Philippines,PHL,1997,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,56.6008232645303
Philippines,PHL,1996,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,54.8500022007917
Philippines,PHL,1995,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,53.1198856354384
Philippines,PHL,1994,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,51.4056620127755
Philippines,PHL,1993,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,49.3467058721173
Philippines,PHL,2017,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,96.4
Philippines,PHL,2016,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,96.6209030151367
Philippines,PHL,2015,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,95.91
Philippines,PHL,2014,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,95.6264572143555
Philippines,PHL,2013,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,94.1
Philippines,PHL,2012,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,94.6490478515625
Philippines,PHL,2011,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,94.1720733642578
Philippines,PHL,2010,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,93.7057495117188
Philippines,PHL,2009,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,93.2518692016602
Philippines,PHL,2008,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,93.7
Philippines,PHL,2007,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,92.3828659057617
Philippines,PHL,2006,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,91.9679260253906
Philippines,PHL,2005,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,91.566162109375
