Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Romania,ROU,2015,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.52
Romania,ROU,2014,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.483
Romania,ROU,2013,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.60910683099205
Romania,ROU,2012,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.09292984955902
Romania,ROU,2011,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.22159786780123
Romania,ROU,2010,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.17379506117866
Romania,ROU,2009,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.12285563870678
Romania,ROU,2008,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.35185486507805
Romania,ROU,2007,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.73741391832696
Romania,ROU,2006,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.08516169459381
Romania,ROU,2005,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.30976388622827
Romania,ROU,2004,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.54444347764881
Romania,ROU,2003,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,6.13875183742252
Romania,ROU,2002,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,6.25003793070989
Romania,ROU,2001,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,6.34686906499755
Romania,ROU,2000,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,6.5936446577549
Romania,ROU,1999,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,6.75852344982299
Romania,ROU,1998,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.61793639899157
Romania,ROU,1997,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.15701514432335
Romania,ROU,1996,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.25522055018415
Romania,ROU,1995,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.37185898672351
Romania,ROU,1994,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.28198244015525
Romania,ROU,1993,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,9.12584906218954
Romania,ROU,1992,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,9.50602183112898
Romania,ROU,1991,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,9.51368410773664
Romania,ROU,1990,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,10.0471276733378
Romania,ROU,2017,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Romania,ROU,2016,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Romania,ROU,2015,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Romania,ROU,2014,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Romania,ROU,2013,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Romania,ROU,2012,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Romania,ROU,2011,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Romania,ROU,2010,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Romania,ROU,2009,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Romania,ROU,2008,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Romania,ROU,2007,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Romania,ROU,2006,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Romania,ROU,2005,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Romania,ROU,2004,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Romania,ROU,2003,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Romania,ROU,2002,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Romania,ROU,2001,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Romania,ROU,2000,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Romania,ROU,1999,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Romania,ROU,1998,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Romania,ROU,1997,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Romania,ROU,1996,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Romania,ROU,1995,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Romania,ROU,1994,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Romania,ROU,1993,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Romania,ROU,1992,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Romania,ROU,1991,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Romania,ROU,1990,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Romania,ROU,2017,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Romania,ROU,2016,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Romania,ROU,2015,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Romania,ROU,2014,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Romania,ROU,2013,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Romania,ROU,2012,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Romania,ROU,2011,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Romania,ROU,2010,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Romania,ROU,2009,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Romania,ROU,2008,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Romania,ROU,2007,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Romania,ROU,2006,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Romania,ROU,2005,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Romania,ROU,2004,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Romania,ROU,2003,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Romania,ROU,2002,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Romania,ROU,2001,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Romania,ROU,2000,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Romania,ROU,1999,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Romania,ROU,1998,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Romania,ROU,1997,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Romania,ROU,1996,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Romania,ROU,1995,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Romania,ROU,1994,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Romania,ROU,1993,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Romania,ROU,1992,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Romania,ROU,1991,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Romania,ROU,1990,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Romania,ROU,2017,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Romania,ROU,2016,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Romania,ROU,2015,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Romania,ROU,2014,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Romania,ROU,2013,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Romania,ROU,2012,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Romania,ROU,2011,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Romania,ROU,2010,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Romania,ROU,2009,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Romania,ROU,2008,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Romania,ROU,2007,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Romania,ROU,2006,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Romania,ROU,2005,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Romania,ROU,2004,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Romania,ROU,2003,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Romania,ROU,2002,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Romania,ROU,2001,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Romania,ROU,2000,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Romania,ROU,1999,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
