Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Russian Federation,RUS,2015,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.4132177513638
Russian Federation,RUS,2014,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.3456060235021
Russian Federation,RUS,2013,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.45653708174425
Russian Federation,RUS,2012,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.6952514655636
Russian Federation,RUS,2011,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.78151747749434
Russian Federation,RUS,2010,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.73141343364703
Russian Federation,RUS,2009,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.57595045414015
Russian Federation,RUS,2008,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.41184244229129
Russian Federation,RUS,2007,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.6491545212918
Russian Federation,RUS,2006,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,9.36060693026322
Russian Federation,RUS,2005,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,9.8375121772105
Russian Federation,RUS,2004,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,10.3955256087956
Russian Federation,RUS,2003,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,11.1058478883372
Russian Federation,RUS,2002,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,11.5058278262072
Russian Federation,RUS,2001,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,12.1077274345954
Russian Federation,RUS,2000,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,12.5873094744432
Russian Federation,RUS,1999,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,13.6163055851014
Russian Federation,RUS,1998,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,13.9872185909651
Russian Federation,RUS,1997,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,13.5617088426648
Russian Federation,RUS,1996,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,14.3934572497753
Russian Federation,RUS,1995,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,14.0199224660033
Russian Federation,RUS,1994,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,13.8678952105285
Russian Federation,RUS,1993,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,13.8638226073984
Russian Federation,RUS,1992,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,13.4115404021073
Russian Federation,RUS,1991,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,12.5498703630862
Russian Federation,RUS,1990,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,12.0268022546511
Russian Federation,RUS,2017,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Russian Federation,RUS,2016,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Russian Federation,RUS,2015,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Russian Federation,RUS,2014,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Russian Federation,RUS,2013,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Russian Federation,RUS,2012,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Russian Federation,RUS,2011,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Russian Federation,RUS,2010,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Russian Federation,RUS,2009,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Russian Federation,RUS,2008,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Russian Federation,RUS,2007,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Russian Federation,RUS,2006,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Russian Federation,RUS,2005,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Russian Federation,RUS,2004,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Russian Federation,RUS,2003,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Russian Federation,RUS,2002,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Russian Federation,RUS,2001,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Russian Federation,RUS,2000,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Russian Federation,RUS,1999,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Russian Federation,RUS,1998,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Russian Federation,RUS,1997,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Russian Federation,RUS,1996,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Russian Federation,RUS,1995,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Russian Federation,RUS,1994,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Russian Federation,RUS,1993,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Russian Federation,RUS,1992,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Russian Federation,RUS,1991,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Russian Federation,RUS,1990,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Russian Federation,RUS,2017,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Russian Federation,RUS,2016,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Russian Federation,RUS,2015,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Russian Federation,RUS,2014,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Russian Federation,RUS,2013,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Russian Federation,RUS,2012,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Russian Federation,RUS,2011,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Russian Federation,RUS,2010,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Russian Federation,RUS,2009,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Russian Federation,RUS,2008,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Russian Federation,RUS,2007,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Russian Federation,RUS,2006,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Russian Federation,RUS,2005,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Russian Federation,RUS,2004,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Russian Federation,RUS,2003,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Russian Federation,RUS,2002,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Russian Federation,RUS,2001,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Russian Federation,RUS,2000,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Russian Federation,RUS,1999,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Russian Federation,RUS,1998,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Russian Federation,RUS,1997,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Russian Federation,RUS,1996,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Russian Federation,RUS,1995,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Russian Federation,RUS,1994,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Russian Federation,RUS,1993,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Russian Federation,RUS,1992,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Russian Federation,RUS,1991,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Russian Federation,RUS,1990,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Russian Federation,RUS,2017,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Russian Federation,RUS,2016,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Russian Federation,RUS,2015,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Russian Federation,RUS,2014,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Russian Federation,RUS,2013,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
