Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Sao Tome and Principe,STP,2015,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.66317406649038
Sao Tome and Principe,STP,2014,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.60686976488286
Sao Tome and Principe,STP,2013,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.8131909212582
Sao Tome and Principe,STP,2012,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.99705497466303
Sao Tome and Principe,STP,2011,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.97382476679434
Sao Tome and Principe,STP,2010,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.08385706628018
Sao Tome and Principe,STP,2009,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.04271491695232
Sao Tome and Principe,STP,2008,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.07003300017171
Sao Tome and Principe,STP,2007,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.23933480129783
Sao Tome and Principe,STP,2006,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.37778046142941
Sao Tome and Principe,STP,2005,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.72773369060737
Sao Tome and Principe,STP,2004,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.91049039496041
Sao Tome and Principe,STP,2003,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.75773963328891
Sao Tome and Principe,STP,2002,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.70655739997362
Sao Tome and Principe,STP,2001,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.56943676190762
Sao Tome and Principe,STP,2000,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.77187912013792
Sao Tome and Principe,STP,1999,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.59270623419757
Sao Tome and Principe,STP,1998,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.67355587345329
Sao Tome and Principe,STP,1997,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.60636031688998
Sao Tome and Principe,STP,1996,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.59396284375732
Sao Tome and Principe,STP,1995,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.60859340928426
Sao Tome and Principe,STP,1994,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.65010082278972
Sao Tome and Principe,STP,1993,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.75250409931007
Sao Tome and Principe,STP,1992,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.74276816193579
Sao Tome and Principe,STP,1991,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.89697691303027
Sao Tome and Principe,STP,1990,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.71297304940207
Sao Tome and Principe,STP,2017,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,45.3286077729596
Sao Tome and Principe,STP,2016,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,45.9569654898735
Sao Tome and Principe,STP,2015,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,46.3621228275666
Sao Tome and Principe,STP,2014,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,52.4134805128641
Sao Tome and Principe,STP,2013,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,45.0982034802387
Sao Tome and Principe,STP,2012,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,42.7665989577263
Sao Tome and Principe,STP,2011,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,42.4332082011539
Sao Tome and Principe,STP,2010,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,41.9865482805174
Sao Tome and Principe,STP,2009,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,34.1419742697629
Sao Tome and Principe,STP,2008,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,41.3993612010302
Sao Tome and Principe,STP,2007,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,41.1797724904169
Sao Tome and Principe,STP,2006,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,40.9567757086972
Sao Tome and Principe,STP,2005,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,40.6970395183515
Sao Tome and Principe,STP,2004,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,40.3715441085483
Sao Tome and Principe,STP,2003,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,39.964075281564
Sao Tome and Principe,STP,2002,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,39.4858275044519
Sao Tome and Principe,STP,2001,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,38.9388707260786
Sao Tome and Principe,STP,2000,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,40.0610547915795
Sao Tome and Principe,STP,2017,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,83.0983200073242
Sao Tome and Principe,STP,2016,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,79.8809204101563
Sao Tome and Principe,STP,2015,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,76.6196746826172
Sao Tome and Principe,STP,2014,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,75.8
Sao Tome and Principe,STP,2013,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,71.2148971557617
Sao Tome and Principe,STP,2012,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,65.3
