Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Sierra Leone,SLE,2015,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,6.99664375139719
Sierra Leone,SLE,2014,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.72546498214365
Sierra Leone,SLE,2013,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.81940425061285
Sierra Leone,SLE,2012,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,6.72194865717831
Sierra Leone,SLE,2011,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.50289518209457
Sierra Leone,SLE,2010,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.62416466389576
Sierra Leone,SLE,2009,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.87547202702006
Sierra Leone,SLE,2008,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.19085819138232
Sierra Leone,SLE,2007,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.58474735317667
Sierra Leone,SLE,2006,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,9.39427260981864
Sierra Leone,SLE,2005,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,9.51253056903951
Sierra Leone,SLE,2004,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,10.1186097093107
Sierra Leone,SLE,2003,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,10.7794811870209
Sierra Leone,SLE,2002,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,11.6276530026369
Sierra Leone,SLE,2001,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,14.6074601287681
Sierra Leone,SLE,2000,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,13.123918007063
Sierra Leone,SLE,1999,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,13.5316358750852
Sierra Leone,SLE,1998,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,13.0045174534495
Sierra Leone,SLE,1997,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,12.9403274572526
Sierra Leone,SLE,1996,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,11.5042547098006
Sierra Leone,SLE,1995,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,11.5753312193086
Sierra Leone,SLE,1994,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,10.5680955104629
Sierra Leone,SLE,1993,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,10.4898729513487
Sierra Leone,SLE,1992,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,10.7853666584717
Sierra Leone,SLE,1991,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,9.09192497489111
Sierra Leone,SLE,1990,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,9.31625727367011
Sierra Leone,SLE,2017,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,5.35135834725217
Sierra Leone,SLE,2016,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1.64035476866329
Sierra Leone,SLE,2015,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1.47768892163698
Sierra Leone,SLE,2014,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0.493879951041577
Sierra Leone,SLE,2013,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0
Sierra Leone,SLE,2012,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0.3537860301591
Sierra Leone,SLE,2011,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0.277915682762241
Sierra Leone,SLE,2010,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0
Sierra Leone,SLE,2009,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0.429105819893937
Sierra Leone,SLE,2008,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0
Sierra Leone,SLE,2007,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0.669932012855774
Sierra Leone,SLE,2006,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0.790233776493018
Sierra Leone,SLE,2005,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0
Sierra Leone,SLE,2004,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,9.13595085409845
Sierra Leone,SLE,2017,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,48.7
Sierra Leone,SLE,2016,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,46.9
Sierra Leone,SLE,2015,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,44.8288154602051
Sierra Leone,SLE,2014,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,42.9030303955078
Sierra Leone,SLE,2013,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,41.4
Sierra Leone,SLE,2012,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,40.250431060791
Sierra Leone,SLE,2011,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,35.75
Sierra Leone,SLE,2010,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,34.340354767184
Sierra Leone,SLE,2009,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,36.340461730957
Sierra Leone,SLE,2008,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,33.1
Sierra Leone,SLE,2007,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,33.7962608337402
Sierra Leone,SLE,2006,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,32.5437240600586
Sierra Leone,SLE,2005,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,35.8518518518519
Sierra Leone,SLE,2004,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,30.0782623291016
Sierra Leone,SLE,2017,Access to electricity (% of population),EG.ELC.ACCS.ZS,23.4
Sierra Leone,SLE,2016,Access to electricity (% of population),EG.ELC.ACCS.ZS,20.3
Sierra Leone,SLE,2015,Access to electricity (% of population),EG.ELC.ACCS.ZS,19.1775207519531
Sierra Leone,SLE,2014,Access to electricity (% of population),EG.ELC.ACCS.ZS,17.6407489776611
Sierra Leone,SLE,2013,Access to electricity (% of population),EG.ELC.ACCS.ZS,13.5
Sierra Leone,SLE,2012,Access to electricity (% of population),EG.ELC.ACCS.ZS,16.1696166992188
Sierra Leone,SLE,2011,Access to electricity (% of population),EG.ELC.ACCS.ZS,14.2
Sierra Leone,SLE,2010,Access to electricity (% of population),EG.ELC.ACCS.ZS,11.4621730735475
Sierra Leone,SLE,2009,Access to electricity (% of population),EG.ELC.ACCS.ZS,14.2427701950073
Sierra Leone,SLE,2008,Access to electricity (% of population),EG.ELC.ACCS.ZS,12.1
Sierra Leone,SLE,2007,Access to electricity (% of population),EG.ELC.ACCS.ZS,13.1549167633057
Sierra Leone,SLE,2006,Access to electricity (% of population),EG.ELC.ACCS.ZS,12.6352405548096
Sierra Leone,SLE,2005,Access to electricity (% of population),EG.ELC.ACCS.ZS,11.3324855164618
Sierra Leone,SLE,2004,Access to electricity (% of population),EG.ELC.ACCS.ZS,16.8
Sierra Leone,SLE,2015,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,60.9756097560976
Sierra Leone,SLE,2014,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,65.3569452130603
Sierra Leone,SLE,2013,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,64.1097390352211
Sierra Leone,SLE,2012,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,66.099513068786
Sierra Leone,SLE,2011,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,87.3775905260761
Sierra Leone,SLE,2010,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,87.3820547383227
Sierra Leone,SLE,2009,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,66.6608575736681
Sierra Leone,SLE,2008,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,69.0148152418286
Sierra Leone,SLE,2007,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,30
Sierra Leone,SLE,2006,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,10.1941747572816
Sierra Leone,SLE,2005,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,22.488038277512
Sierra Leone,SLE,2004,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,14.1068447412354
Sierra Leone,SLE,2003,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,11.142061281337
Sierra Leone,SLE,2002,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,10.2678571428571
Sierra Leone,SLE,2001,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,10.958904109589
Sierra Leone,SLE,2000,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,16.5786694825766
Sierra Leone,SLE,1999,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Sierra Leone,SLE,1998,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Sierra Leone,SLE,1997,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Sierra Leone,SLE,1996,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Sierra Leone,SLE,1995,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Sierra Leone,SLE,1994,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Sierra Leone,SLE,1993,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Sierra Leone,SLE,1992,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Sierra Leone,SLE,1991,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Sierra Leone,SLE,1990,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0
Sierra Leone,SLE,2015,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,77.660558628128
Sierra Leone,SLE,2014,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,73.0542862186249
Sierra Leone,SLE,2013,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,75.2247752787417
Sierra Leone,SLE,2012,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,78.4297555508629
Sierra Leone,SLE,2011,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,80.3459747864652
Sierra Leone,SLE,2010,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,84.1750925806591
Sierra Leone,SLE,2009,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,85.3865600089718
Sierra Leone,SLE,2008,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,85.2746005510367
Sierra Leone,SLE,2007,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,85.5640191882897
Sierra Leone,SLE,2006,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,83.3856396499488
Sierra Leone,SLE,2005,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,87.2507685727922
Sierra Leone,SLE,2004,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,85.7401566667732
Sierra Leone,SLE,2003,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,85.6877360808241
Sierra Leone,SLE,2002,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,87.1251950645401
Sierra Leone,SLE,2001,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,87.1728795969515
Sierra Leone,SLE,2000,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,89.2841516602693
Sierra Leone,SLE,1999,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,91.367512439283
Sierra Leone,SLE,1998,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,91.2607179504479
Sierra Leone,SLE,1997,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,90.460188701685
Sierra Leone,SLE,1996,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,90.0751222656276
Sierra Leone,SLE,1995,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,90.2416623879196
Sierra Leone,SLE,1994,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,89.7155966869799
Sierra Leone,SLE,1993,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,90.130079929459
Sierra Leone,SLE,1992,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,90.2156112527301
Sierra Leone,SLE,1991,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,90.255162711702
Sierra Leone,SLE,1990,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,91.282152247783
Sierra Leone,SLE,2014,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Sierra Leone,SLE,2013,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Sierra Leone,SLE,2012,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Sierra Leone,SLE,2011,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Sierra Leone,SLE,2010,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Sierra Leone,SLE,2009,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Sierra Leone,SLE,2008,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Sierra Leone,SLE,2007,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Sierra Leone,SLE,2006,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Sierra Leone,SLE,2005,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Sierra Leone,SLE,2004,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Sierra Leone,SLE,2003,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Sierra Leone,SLE,2002,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Sierra Leone,SLE,2001,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Sierra Leone,SLE,2000,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Sierra Leone,SLE,1999,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Sierra Leone,SLE,1998,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Sierra Leone,SLE,1997,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Sierra Leone,SLE,1996,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Sierra Leone,SLE,1995,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Sierra Leone,SLE,1994,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Sierra Leone,SLE,1993,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Sierra Leone,SLE,1992,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Sierra Leone,SLE,1991,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Sierra Leone,SLE,1990,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Sierra Leone,SLE,1989,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
Sierra Leone,SLE,1988,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0
