Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Spain,ESP,2015,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.3273590424132
Spain,ESP,2014,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.30806663085961
Spain,ESP,2013,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.36781364837409
Spain,ESP,2012,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.54887506097597
Spain,ESP,2011,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.46177010181717
Spain,ESP,2010,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.48253024522595
Spain,ESP,2009,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.48573641957058
Spain,ESP,2008,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.65607135062118
Spain,ESP,2007,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.82313988757583
Spain,ESP,2006,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.91167273563527
Spain,ESP,2005,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.07854540469411
Spain,ESP,2004,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.14303176854266
Spain,ESP,2003,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.09567991257915
Spain,ESP,2002,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.0856015521387
Spain,ESP,2001,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.08164495917042
Spain,ESP,2000,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.13692493741628
Spain,ESP,1999,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.15472036920402
Spain,ESP,1998,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.14057458100716
Spain,ESP,1997,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.11132277964594
Spain,ESP,1996,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.01105045274452
Spain,ESP,1995,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.17985313036177
Spain,ESP,1994,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.10586133938804
Spain,ESP,1993,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.98275282714049
Spain,ESP,1992,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.10964221471922
Spain,ESP,1991,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.07209710690875
Spain,ESP,1990,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.02577440487284
Spain,ESP,2017,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Spain,ESP,2016,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Spain,ESP,2015,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Spain,ESP,2014,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Spain,ESP,2013,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Spain,ESP,2012,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Spain,ESP,2011,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Spain,ESP,2010,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Spain,ESP,2009,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Spain,ESP,2008,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Spain,ESP,2007,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Spain,ESP,2006,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Spain,ESP,2005,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Spain,ESP,2004,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Spain,ESP,2003,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Spain,ESP,2002,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Spain,ESP,2001,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Spain,ESP,2000,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Spain,ESP,1999,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Spain,ESP,1998,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Spain,ESP,1997,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Spain,ESP,1996,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Spain,ESP,1995,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Spain,ESP,1994,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Spain,ESP,1993,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Spain,ESP,1992,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Spain,ESP,1991,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Spain,ESP,1990,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Spain,ESP,2017,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Spain,ESP,2016,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Spain,ESP,2015,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Spain,ESP,2014,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Spain,ESP,2013,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Spain,ESP,2012,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Spain,ESP,2011,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Spain,ESP,2010,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Spain,ESP,2009,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Spain,ESP,2008,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Spain,ESP,2007,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Spain,ESP,2006,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Spain,ESP,2005,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Spain,ESP,2004,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Spain,ESP,2003,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Spain,ESP,2002,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Spain,ESP,2001,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Spain,ESP,2000,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Spain,ESP,1999,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Spain,ESP,1998,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Spain,ESP,1997,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Spain,ESP,1996,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Spain,ESP,1995,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Spain,ESP,1994,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Spain,ESP,1993,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Spain,ESP,1992,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Spain,ESP,1991,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Spain,ESP,1990,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Spain,ESP,2017,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Spain,ESP,2016,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Spain,ESP,2015,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Spain,ESP,2014,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Spain,ESP,2013,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Spain,ESP,2012,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Spain,ESP,2011,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Spain,ESP,2010,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Spain,ESP,2009,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Spain,ESP,2008,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Spain,ESP,2007,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Spain,ESP,2006,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Spain,ESP,2005,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Spain,ESP,2004,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Spain,ESP,2003,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Spain,ESP,2002,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Spain,ESP,2001,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Spain,ESP,2000,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Spain,ESP,1999,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Spain,ESP,1998,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Spain,ESP,1997,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Spain,ESP,1996,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Spain,ESP,1995,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Spain,ESP,1994,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Spain,ESP,1993,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Spain,ESP,1992,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Spain,ESP,1991,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Spain,ESP,1990,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Spain,ESP,2015,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,18.9623891256768
Spain,ESP,2014,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,16.4739642624632
Spain,ESP,2013,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,14.6856401783652
Spain,ESP,2012,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,19.0483156541086
Spain,ESP,2011,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,15.4788651713528
Spain,ESP,2010,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,8.82374631268437
Spain,ESP,2009,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,12.6556777184285
Spain,ESP,2008,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,16.0696255040549
Spain,ESP,2007,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,24.5445419577987
Spain,ESP,2006,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,22.9980174706173
Spain,ESP,2005,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,27.9040923146021
Spain,ESP,2004,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,29.0339487876466
Spain,ESP,2003,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,29.5185241320882
Spain,ESP,2002,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,34.3689692685387
Spain,ESP,2001,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,30.7782740585325
Spain,ESP,2000,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,36.6004137225524
Spain,ESP,1999,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,36.6484159796344
Spain,ESP,1998,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,32.6621576900802
Spain,ESP,1997,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,33.8234283388053
Spain,ESP,1996,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,31.5346234822484
Spain,ESP,1995,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,40.5076209570279
Spain,ESP,1994,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,38.91374874147
Spain,ESP,1993,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,40.7799844311917
Spain,ESP,1992,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,41.5698787492023
Spain,ESP,1991,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,38.5882945931799
Spain,ESP,1990,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,40.1194397047736
Spain,ESP,1989,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,41.1270380434783
Spain,ESP,1988,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,31.675373780523
Spain,ESP,1987,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,41.8208829163085
Spain,ESP,1986,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,43.2300277630471
Spain,ESP,1985,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,44.1134559812764
Spain,ESP,1984,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,41.8488476453355
Spain,ESP,1983,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,42.6675796078975
Spain,ESP,1982,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,39.4217045794936
Spain,ESP,1981,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,34.5503472853558
Spain,ESP,1980,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,30.0075073700401
Spain,ESP,1979,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,22.2094877892706
Spain,ESP,1978,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,20.7482093439687
Spain,ESP,1977,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,19.752074140405
Spain,ESP,1976,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,17.8654266345454
Spain,ESP,1975,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,20.7167044264172
Spain,ESP,1974,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,16.1571507068285
Spain,ESP,1973,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,18.8686227861486
Spain,ESP,1972,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,23.0420378414194
Spain,ESP,1971,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,21.7374360639766
Spain,ESP,1970,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,21.7182032928974
Spain,ESP,1969,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,19.6056576216466
Spain,ESP,1968,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,22.752177424636
Spain,ESP,1967,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,23.1176441621116
Spain,ESP,1966,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,14.0768067093076
Spain,ESP,1965,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,19.8808473080318
Spain,ESP,1964,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,17.9197994987469
