Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
St. Lucia,LCA,2015,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.18626739415913
St. Lucia,LCA,2014,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.18699699292382
St. Lucia,LCA,2013,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.17244454501202
St. Lucia,LCA,2012,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.18525048710147
St. Lucia,LCA,2011,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.16691305176071
St. Lucia,LCA,2010,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.14066087551993
St. Lucia,LCA,2009,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.94908603814959
St. Lucia,LCA,2008,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.01771262223084
St. Lucia,LCA,2007,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.01777473185114
St. Lucia,LCA,2006,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.93170796977049
St. Lucia,LCA,2005,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.14419744325568
St. Lucia,LCA,2004,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.04472479774625
St. Lucia,LCA,2003,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.28247370006174
St. Lucia,LCA,2002,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.12742313543483
St. Lucia,LCA,2001,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.49510311638148
St. Lucia,LCA,2000,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.11821699317465
St. Lucia,LCA,1999,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.15358730780194
St. Lucia,LCA,1998,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.05791558126225
St. Lucia,LCA,1997,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.26522032331162
St. Lucia,LCA,1996,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.48277133051914
St. Lucia,LCA,1995,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.48674278989951
St. Lucia,LCA,1994,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.06184185654705
St. Lucia,LCA,1993,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.69769319798135
St. Lucia,LCA,1992,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.50375017119373
St. Lucia,LCA,1991,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.26499528464064
St. Lucia,LCA,1990,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.2371797226775
St. Lucia,LCA,2017,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,99.0957404656233
St. Lucia,LCA,2016,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,98.3999723892633
St. Lucia,LCA,2015,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,97.7161660877178
St. Lucia,LCA,2014,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,97.0470791298445
St. Lucia,LCA,2013,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,96.2959390108088
St. Lucia,LCA,2012,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,95.62074335709
St. Lucia,LCA,2011,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,94.8849204397094
