Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Syrian Arab Republic,SYR,2015,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.02523310634409
Syrian Arab Republic,SYR,2014,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.4497962955147
Syrian Arab Republic,SYR,2013,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,6.79931128804848
Syrian Arab Republic,SYR,2012,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,6.53165724468853
Syrian Arab Republic,SYR,2011,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,6.79159955937092
Syrian Arab Republic,SYR,2010,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,6.92930535696062
Syrian Arab Republic,SYR,2009,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.11193515178511
Syrian Arab Republic,SYR,2008,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.09637523190927
Syrian Arab Republic,SYR,2007,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.29046584158714
Syrian Arab Republic,SYR,2006,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.36958888249078
Syrian Arab Republic,SYR,2005,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.45143950950799
Syrian Arab Republic,SYR,2004,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.46431748670427
Syrian Arab Republic,SYR,2003,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.63509301522039
Syrian Arab Republic,SYR,2002,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.64181944367067
Syrian Arab Republic,SYR,2001,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.93231098880296
Syrian Arab Republic,SYR,2000,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.02536181323823
Syrian Arab Republic,SYR,1999,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.05134295765423
Syrian Arab Republic,SYR,1998,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.799538817703
Syrian Arab Republic,SYR,1997,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.47429705600854
Syrian Arab Republic,SYR,1996,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.22951468549692
Syrian Arab Republic,SYR,1995,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.52012475910406
Syrian Arab Republic,SYR,1994,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.6102834078082
Syrian Arab Republic,SYR,1993,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.81988444806677
Syrian Arab Republic,SYR,1992,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.18365317254498
Syrian Arab Republic,SYR,1991,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,9.70615955174467
Syrian Arab Republic,SYR,1990,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,9.61255645429924
Syrian Arab Republic,SYR,2017,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,77.7178210309057
Syrian Arab Republic,SYR,2016,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,78.2158418913595
Syrian Arab Republic,SYR,2015,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,78.7039533103367
Syrian Arab Republic,SYR,2014,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,79.1970486937405
Syrian Arab Republic,SYR,2013,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,80.2325693258577
Syrian Arab Republic,SYR,2012,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,81.6248804659847
Syrian Arab Republic,SYR,2011,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,82.4494873246955
Syrian Arab Republic,SYR,2010,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,83.5585580370757
Syrian Arab Republic,SYR,2009,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,79.513656838716
Syrian Arab Republic,SYR,2008,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,80.3864447567791
Syrian Arab Republic,SYR,2007,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,81.3518062375901
Syrian Arab Republic,SYR,2006,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,99.2084816394643
Syrian Arab Republic,SYR,2005,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,83.4016898442983
Syrian Arab Republic,SYR,2004,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,84.3609287159179
Syrian Arab Republic,SYR,2003,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,85.2340445789949
Syrian Arab Republic,SYR,2002,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,72.237647423158
Syrian Arab Republic,SYR,2017,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Syrian Arab Republic,SYR,2016,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Syrian Arab Republic,SYR,2015,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Syrian Arab Republic,SYR,2014,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Syrian Arab Republic,SYR,2013,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Syrian Arab Republic,SYR,2012,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Syrian Arab Republic,SYR,2011,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Syrian Arab Republic,SYR,2010,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Syrian Arab Republic,SYR,2009,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.9961853027344
Syrian Arab Republic,SYR,2008,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.9720687866211
Syrian Arab Republic,SYR,2007,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.9057312011719
Syrian Arab Republic,SYR,2006,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.7575079276254
Syrian Arab Republic,SYR,2005,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.6687850952148
Syrian Arab Republic,SYR,2004,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.5535507202148
Syrian Arab Republic,SYR,2003,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.4515686035156
Syrian Arab Republic,SYR,2002,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.5
Syrian Arab Republic,SYR,2017,Access to electricity (% of population),EG.ELC.ACCS.ZS,89.638786315918
Syrian Arab Republic,SYR,2016,Access to electricity (% of population),EG.ELC.ACCS.ZS,89.7255020141602
Syrian Arab Republic,SYR,2015,Access to electricity (% of population),EG.ELC.ACCS.ZS,89.8136749267578
Syrian Arab Republic,SYR,2014,Access to electricity (% of population),EG.ELC.ACCS.ZS,89.9105682373047
Syrian Arab Republic,SYR,2013,Access to electricity (% of population),EG.ELC.ACCS.ZS,90.6162033081055
Syrian Arab Republic,SYR,2012,Access to electricity (% of population),EG.ELC.ACCS.ZS,91.4656753540039
Syrian Arab Republic,SYR,2011,Access to electricity (% of population),EG.ELC.ACCS.ZS,92.0285568237305
Syrian Arab Republic,SYR,2010,Access to electricity (% of population),EG.ELC.ACCS.ZS,92.7
Syrian Arab Republic,SYR,2009,Access to electricity (% of population),EG.ELC.ACCS.ZS,90.8275909423828
Syrian Arab Republic,SYR,2008,Access to electricity (% of population),EG.ELC.ACCS.ZS,91.1340560913086
Syrian Arab Republic,SYR,2007,Access to electricity (% of population),EG.ELC.ACCS.ZS,91.4657363891602
Syrian Arab Republic,SYR,2006,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.5057574004942
Syrian Arab Republic,SYR,2005,Access to electricity (% of population),EG.ELC.ACCS.ZS,92.1504592895508
Syrian Arab Republic,SYR,2004,Access to electricity (% of population),EG.ELC.ACCS.ZS,92.4763717651367
Syrian Arab Republic,SYR,2003,Access to electricity (% of population),EG.ELC.ACCS.ZS,92.7762985229492
Syrian Arab Republic,SYR,2002,Access to electricity (% of population),EG.ELC.ACCS.ZS,86.6
Syrian Arab Republic,SYR,2015,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Syrian Arab Republic,SYR,2014,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Syrian Arab Republic,SYR,2013,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Syrian Arab Republic,SYR,2012,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Syrian Arab Republic,SYR,2011,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Syrian Arab Republic,SYR,2010,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
