Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Thailand,THA,2015,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.41195825241376
Thailand,THA,2014,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.55649446817718
Thailand,THA,2013,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.6480727750378
Thailand,THA,2012,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.39380430327444
Thailand,THA,2011,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.39445643905962
Thailand,THA,2010,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.44586715381827
Thailand,THA,2009,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.3509451466981
Thailand,THA,2008,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.33117573412338
Thailand,THA,2007,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.27934504523349
Thailand,THA,2006,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.3399815219906
Thailand,THA,2005,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.49696168267545
Thailand,THA,2004,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.5703891853125
Thailand,THA,2003,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.47901367956858
Thailand,THA,2002,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.42141503579522
Thailand,THA,2001,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.20404374235306
Thailand,THA,2000,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.23110805252751
Thailand,THA,1999,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.33697749134499
Thailand,THA,1998,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.22762589811727
Thailand,THA,1997,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.14979401047889
Thailand,THA,1996,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.91637252444985
Thailand,THA,1995,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.64533504900821
Thailand,THA,1994,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.59263752018192
Thailand,THA,1993,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.48538969073223
Thailand,THA,1992,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.60150737209559
Thailand,THA,1991,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.6680588935372
Thailand,THA,1990,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.66658475728304
Thailand,THA,2017,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Thailand,THA,2016,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Thailand,THA,2015,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,99.5088173427277
Thailand,THA,2014,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Thailand,THA,2013,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Thailand,THA,2012,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,98.8244028182052
Thailand,THA,2011,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,99.2098336525669
Thailand,THA,2010,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,99.4656597298018
Thailand,THA,2009,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,98.9229784005096
Thailand,THA,2008,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,92.7178555873066
Thailand,THA,2007,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,91.2105543995088
Thailand,THA,2006,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,98.8436328080084
Thailand,THA,2005,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,88.3840388392636
Thailand,THA,2004,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,87.0133254308006
Thailand,THA,2003,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,85.6460604605047
Thailand,THA,2002,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,84.2844714386401
Thailand,THA,2001,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,82.9374194041247
Thailand,THA,2000,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,73.9577727491519
Thailand,THA,2017,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Thailand,THA,2016,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.9251708984375
Thailand,THA,2015,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.7
Thailand,THA,2014,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.7711639404297
Thailand,THA,2013,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.6982574462891
Thailand,THA,2012,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.4498197685449
Thailand,THA,2011,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.9043731689453
Thailand,THA,2010,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Thailand,THA,2009,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.01
Thailand,THA,2008,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.4695281982422
Thailand,THA,2007,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.4605026245117
Thailand,THA,2006,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.6260098482606
Thailand,THA,2005,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.4817733764648
Thailand,THA,2004,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.5122604370117
Thailand,THA,2003,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.5559997558594
Thailand,THA,2002,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.6102447509766
Thailand,THA,2001,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.6695709228516
Thailand,THA,2000,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.9
Thailand,THA,2017,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Thailand,THA,2016,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Thailand,THA,2015,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.6
Thailand,THA,2014,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.9902725219727
Thailand,THA,2013,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.8793563842773
Thailand,THA,2012,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.1086235489221
Thailand,THA,2011,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.5202789306641
Thailand,THA,2010,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.7
Thailand,THA,2009,Access to electricity (% of population),EG.ELC.ACCS.ZS,98.96
Thailand,THA,2008,Access to electricity (% of population),EG.ELC.ACCS.ZS,95.5023803710938
Thailand,THA,2007,Access to electricity (% of population),EG.ELC.ACCS.ZS,94.5064086914063
Thailand,THA,2006,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.146201481454
Thailand,THA,2005,Access to electricity (% of population),EG.ELC.ACCS.ZS,92.5358123779297
Thailand,THA,2004,Access to electricity (% of population),EG.ELC.ACCS.ZS,91.534065246582
Thailand,THA,2003,Access to electricity (% of population),EG.ELC.ACCS.ZS,90.5063323974609
Thailand,THA,2002,Access to electricity (% of population),EG.ELC.ACCS.ZS,89.4544677734375
Thailand,THA,2001,Access to electricity (% of population),EG.ELC.ACCS.ZS,88.3833999633789
Thailand,THA,2000,Access to electricity (% of population),EG.ELC.ACCS.ZS,82.1
Thailand,THA,2015,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,19.4543204320432
Thailand,THA,2014,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,21.7783624646483
