Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Turks and Caicos Islands,TCA,2017,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Turks and Caicos Islands,TCA,2016,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Turks and Caicos Islands,TCA,2015,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Turks and Caicos Islands,TCA,2014,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Turks and Caicos Islands,TCA,2013,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Turks and Caicos Islands,TCA,2012,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Turks and Caicos Islands,TCA,2011,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Turks and Caicos Islands,TCA,2010,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Turks and Caicos Islands,TCA,2009,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Turks and Caicos Islands,TCA,2008,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,73.5049904942966
Turks and Caicos Islands,TCA,2007,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,71.8832215296958
Turks and Caicos Islands,TCA,2006,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,70.4357529699379
Turks and Caicos Islands,TCA,2005,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,69.0605596714791
Turks and Caicos Islands,TCA,2004,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,67.6565153135627
Turks and Caicos Islands,TCA,2003,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,66.3137613810611
Turks and Caicos Islands,TCA,2002,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,65.0750684017104
Turks and Caicos Islands,TCA,2001,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,64.0022530466974
Turks and Caicos Islands,TCA,2000,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,71.5222222222222
Turks and Caicos Islands,TCA,1999,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,62.7680816650391
Turks and Caicos Islands,TCA,1998,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,62.3024259461549
Turks and Caicos Islands,TCA,1997,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,61.9736153971898
Turks and Caicos Islands,TCA,1996,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,61.7769755847348
Turks and Caicos Islands,TCA,1995,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,61.6873107652289
Turks and Caicos Islands,TCA,1994,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,61.7095511607889
Turks and Caicos Islands,TCA,1993,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,61.7986421821943
Turks and Caicos Islands,TCA,1992,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,61.9432507154564
Turks and Caicos Islands,TCA,1991,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,62.1527635455531
Turks and Caicos Islands,TCA,1990,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,55.9589743589744
Turks and Caicos Islands,TCA,2017,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Turks and Caicos Islands,TCA,2016,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Turks and Caicos Islands,TCA,2015,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Turks and Caicos Islands,TCA,2014,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Turks and Caicos Islands,TCA,2013,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Turks and Caicos Islands,TCA,2012,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Turks and Caicos Islands,TCA,2011,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Turks and Caicos Islands,TCA,2010,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Turks and Caicos Islands,TCA,2009,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Turks and Caicos Islands,TCA,2008,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.8348541259766
Turks and Caicos Islands,TCA,2007,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.8434600830078
Turks and Caicos Islands,TCA,2006,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.8651428222656
Turks and Caicos Islands,TCA,2005,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.8999938964844
Turks and Caicos Islands,TCA,2004,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.9471130371094
Turks and Caicos Islands,TCA,2003,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.9807815551758
Turks and Caicos Islands,TCA,2002,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.9967575073242
Turks and Caicos Islands,TCA,2001,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Turks and Caicos Islands,TCA,2000,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Turks and Caicos Islands,TCA,1999,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Turks and Caicos Islands,TCA,1998,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Turks and Caicos Islands,TCA,1997,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
