Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
United Kingdom,GBR,2015,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.01731446844954
United Kingdom,GBR,2014,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.06887818214771
United Kingdom,GBR,2013,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.35283107405877
United Kingdom,GBR,2012,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.46520061199229
United Kingdom,GBR,2011,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.40085679343243
United Kingdom,GBR,2010,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.74016795806459
United Kingdom,GBR,2009,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.66894172656006
United Kingdom,GBR,2008,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.72864940901435
United Kingdom,GBR,2007,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.76939299228527
United Kingdom,GBR,2006,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.0120973786369
United Kingdom,GBR,2005,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.18819530567367
United Kingdom,GBR,2004,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.2936071041826
United Kingdom,GBR,2003,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.41946228948578
United Kingdom,GBR,2002,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.48998981896257
United Kingdom,GBR,2001,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.70568221609946
United Kingdom,GBR,2000,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.81793687756031
United Kingdom,GBR,1999,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,4.98091612188099
United Kingdom,GBR,1998,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.12296891678055
United Kingdom,GBR,1997,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.24372885145002
United Kingdom,GBR,1996,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.56311124752267
United Kingdom,GBR,1995,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.47548291832077
United Kingdom,GBR,1994,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.60407068783096
United Kingdom,GBR,1993,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.78463253690252
United Kingdom,GBR,1992,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.87744270248762
United Kingdom,GBR,1991,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.92485084361223
United Kingdom,GBR,1990,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.65787128053369
United Kingdom,GBR,2017,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
United Kingdom,GBR,2016,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
United Kingdom,GBR,2015,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
United Kingdom,GBR,2014,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
United Kingdom,GBR,2013,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
United Kingdom,GBR,2012,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
United Kingdom,GBR,2011,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
