Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
United States,USA,2015,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.40839253955352
United States,USA,2014,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.62114571317303
United States,USA,2013,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.67603563128095
United States,USA,2012,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.69299524637643
United States,USA,2011,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,5.90983674958677
United States,USA,2010,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,6.0724792214272
United States,USA,2009,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,6.08456327076516
United States,USA,2008,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,6.22245169027002
United States,USA,2007,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,6.36757144746924
United States,USA,2006,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,6.3694074043804
United States,USA,2005,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,6.60173784003223
United States,USA,2004,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,6.79020605854096
United States,USA,2003,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,6.90496749066525
United States,USA,2002,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.08236787119647
United States,USA,2001,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.12821680868542
United States,USA,2000,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.3353713960741
United States,USA,1999,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.42580269733143
United States,USA,1998,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.56902635840737
United States,USA,1997,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.83913386346723
United States,USA,1996,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.10927770625647
United States,USA,1995,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.2341349169744
United States,USA,1994,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.35152168582419
United States,USA,1993,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.52935320875437
United States,USA,1992,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.61274699225872
United States,USA,1991,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.74349537733587
United States,USA,1990,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.66657670426795
United States,USA,2017,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
United States,USA,2016,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
United States,USA,2015,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
United States,USA,2014,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
United States,USA,2013,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
United States,USA,2012,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
United States,USA,2011,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
United States,USA,2010,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
United States,USA,2009,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
United States,USA,2008,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
United States,USA,2007,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
United States,USA,2006,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
United States,USA,2005,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
United States,USA,2004,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
United States,USA,2003,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
United States,USA,2002,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
United States,USA,2001,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
United States,USA,2000,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
United States,USA,1999,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
United States,USA,1998,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
United States,USA,1997,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
United States,USA,1996,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
United States,USA,1995,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
United States,USA,1994,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
United States,USA,1993,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
United States,USA,1992,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
United States,USA,1991,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
United States,USA,1990,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
United States,USA,2017,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
United States,USA,2016,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
United States,USA,2015,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
United States,USA,2014,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
United States,USA,2013,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
United States,USA,2012,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
United States,USA,2011,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
United States,USA,2010,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
United States,USA,2009,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
United States,USA,2008,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
United States,USA,2007,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
United States,USA,2006,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
United States,USA,2005,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
United States,USA,2004,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
United States,USA,2003,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
United States,USA,2002,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
United States,USA,2001,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
United States,USA,2000,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
United States,USA,1999,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
United States,USA,1998,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
United States,USA,1997,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
United States,USA,1996,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
United States,USA,1995,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
United States,USA,1994,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
United States,USA,1993,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
United States,USA,1992,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
United States,USA,1991,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
United States,USA,1990,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
United States,USA,2017,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
United States,USA,2016,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
United States,USA,2015,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
United States,USA,2014,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
United States,USA,2013,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
United States,USA,2012,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
United States,USA,2011,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
United States,USA,2010,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
