Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Uruguay,URY,2015,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.09300365621152
Uruguay,URY,2014,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.8939446771539
Uruguay,URY,2013,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.93400659953548
Uruguay,URY,2012,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.09343126203734
Uruguay,URY,2011,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.05163160592211
Uruguay,URY,2010,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.96854115300412
Uruguay,URY,2009,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.23390106818224
Uruguay,URY,2008,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.38995144434477
Uruguay,URY,2007,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.76925315709202
Uruguay,URY,2006,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.96636808238425
Uruguay,URY,2005,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.86914391653231
Uruguay,URY,2004,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.99130406750243
Uruguay,URY,2003,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.76213747910655
Uruguay,URY,2002,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.80105164136684
Uruguay,URY,2001,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.76113612844914
Uruguay,URY,2000,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.02737272172887
Uruguay,URY,1999,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.10751930418363
Uruguay,URY,1998,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.79176075101724
Uruguay,URY,1997,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.83495603758541
Uruguay,URY,1996,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.02883962101899
Uruguay,URY,1995,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.90090109728082
Uruguay,URY,1994,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,2.67314849465032
Uruguay,URY,1993,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.00222230147546
Uruguay,URY,1992,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.30258022805233
Uruguay,URY,1991,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.22545766330785
Uruguay,URY,1990,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,3.07965096017321
Uruguay,URY,2017,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Uruguay,URY,2016,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Uruguay,URY,2015,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Uruguay,URY,2014,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Uruguay,URY,2013,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Uruguay,URY,2012,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Uruguay,URY,2011,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,94.6044506268601
Uruguay,URY,2010,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,91.7896120631033
Uruguay,URY,2009,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,89.2976172385739
Uruguay,URY,2008,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,88.0019032673085
Uruguay,URY,2007,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,88.1559068652949
Uruguay,URY,2006,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,86.5679296800821
Uruguay,URY,2005,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,91.7455132784243
Uruguay,URY,2004,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,91.7577814703339
Uruguay,URY,2003,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,91.2440465075428
Uruguay,URY,2002,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,90.3193752997174
Uruguay,URY,2001,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,89.1562053677128
Uruguay,URY,2000,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,86.4731448475805
Uruguay,URY,1999,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,86.7187297951855
Uruguay,URY,1998,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,84.4623758349412
Uruguay,URY,1997,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,83.8390111532099
Uruguay,URY,1996,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,82.9968599963137
Uruguay,URY,1995,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,84.3628755056564
Uruguay,URY,1994,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,84.259911625708
Uruguay,URY,1993,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,84.3764423823727
Uruguay,URY,1992,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,88.6902510708176
Uruguay,URY,1991,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,84.8100401554317
Uruguay,URY,1990,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,85.0417547838249
Uruguay,URY,2017,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Uruguay,URY,2016,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.8
Uruguay,URY,2015,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.806205
Uruguay,URY,2014,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.778072
Uruguay,URY,2013,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.752604
Uruguay,URY,2012,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Uruguay,URY,2011,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.43
Uruguay,URY,2010,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.4344329833984
Uruguay,URY,2009,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.3572006225586
Uruguay,URY,2008,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.472839
Uruguay,URY,2007,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.391608
Uruguay,URY,2006,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.328071
Uruguay,URY,2005,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.1780395507813
Uruguay,URY,2004,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.1661834716797
Uruguay,URY,2003,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.1675643920898
Uruguay,URY,2002,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.1794662475586
Uruguay,URY,2001,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.1964416503906
Uruguay,URY,2000,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.33749
Uruguay,URY,1999,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.2233963012695
Uruguay,URY,1998,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.337214
Uruguay,URY,1997,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.310103
Uruguay,URY,1996,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.315544
Uruguay,URY,1995,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.097572
Uruguay,URY,1994,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.0326919555664
