Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Virgin Islands (U.S.),VIR,2017,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Virgin Islands (U.S.),VIR,2016,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Virgin Islands (U.S.),VIR,2015,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Virgin Islands (U.S.),VIR,2014,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Virgin Islands (U.S.),VIR,2013,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Virgin Islands (U.S.),VIR,2012,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Virgin Islands (U.S.),VIR,2011,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Virgin Islands (U.S.),VIR,2010,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Virgin Islands (U.S.),VIR,2009,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Virgin Islands (U.S.),VIR,2008,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Virgin Islands (U.S.),VIR,2007,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Virgin Islands (U.S.),VIR,2006,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Virgin Islands (U.S.),VIR,2005,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Virgin Islands (U.S.),VIR,2004,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Virgin Islands (U.S.),VIR,2003,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Virgin Islands (U.S.),VIR,2002,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Virgin Islands (U.S.),VIR,2001,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Virgin Islands (U.S.),VIR,2000,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Virgin Islands (U.S.),VIR,1999,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Virgin Islands (U.S.),VIR,1998,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Virgin Islands (U.S.),VIR,1997,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Virgin Islands (U.S.),VIR,1996,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Virgin Islands (U.S.),VIR,1995,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Virgin Islands (U.S.),VIR,1994,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Virgin Islands (U.S.),VIR,1993,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Virgin Islands (U.S.),VIR,1992,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Virgin Islands (U.S.),VIR,1991,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Virgin Islands (U.S.),VIR,1990,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100
Virgin Islands (U.S.),VIR,2017,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Virgin Islands (U.S.),VIR,2016,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Virgin Islands (U.S.),VIR,2015,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Virgin Islands (U.S.),VIR,2014,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Virgin Islands (U.S.),VIR,2013,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Virgin Islands (U.S.),VIR,2012,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Virgin Islands (U.S.),VIR,2011,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Virgin Islands (U.S.),VIR,2010,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Virgin Islands (U.S.),VIR,2009,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Virgin Islands (U.S.),VIR,2008,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Virgin Islands (U.S.),VIR,2007,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Virgin Islands (U.S.),VIR,2006,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Virgin Islands (U.S.),VIR,2005,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Virgin Islands (U.S.),VIR,2004,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Virgin Islands (U.S.),VIR,2003,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Virgin Islands (U.S.),VIR,2002,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Virgin Islands (U.S.),VIR,2001,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Virgin Islands (U.S.),VIR,2000,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Virgin Islands (U.S.),VIR,1999,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Virgin Islands (U.S.),VIR,1998,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Virgin Islands (U.S.),VIR,1997,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Virgin Islands (U.S.),VIR,1996,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Virgin Islands (U.S.),VIR,1995,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Virgin Islands (U.S.),VIR,1994,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Virgin Islands (U.S.),VIR,1993,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Virgin Islands (U.S.),VIR,1992,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Virgin Islands (U.S.),VIR,1991,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Virgin Islands (U.S.),VIR,1990,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100
Virgin Islands (U.S.),VIR,2017,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Virgin Islands (U.S.),VIR,2016,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Virgin Islands (U.S.),VIR,2015,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Virgin Islands (U.S.),VIR,2014,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Virgin Islands (U.S.),VIR,2013,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Virgin Islands (U.S.),VIR,2012,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Virgin Islands (U.S.),VIR,2011,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
