Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Zambia,ZMB,2015,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.34362541470335
Zambia,ZMB,2014,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.39863807087842
Zambia,ZMB,2013,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.46840056888535
Zambia,ZMB,2012,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.57624422881558
Zambia,ZMB,2011,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.7560472838405
Zambia,ZMB,2010,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,7.76546564318769
Zambia,ZMB,2009,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.23202816897653
Zambia,ZMB,2008,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,8.75148636727688
Zambia,ZMB,2007,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,9.10424316457514
Zambia,ZMB,2006,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,9.83945420098551
Zambia,ZMB,2005,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,10.3698854629173
Zambia,ZMB,2004,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,10.7582060373221
Zambia,ZMB,2003,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,11.1919364470931
Zambia,ZMB,2002,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,11.5890389405742
Zambia,ZMB,2001,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,11.744042641315
Zambia,ZMB,2000,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,11.9787723517983
Zambia,ZMB,1999,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,12.0632752889881
Zambia,ZMB,1998,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,12.5158332092472
Zambia,ZMB,1997,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,12.3453311895449
Zambia,ZMB,1996,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,12.2889781791307
Zambia,ZMB,1995,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,13.1652617817189
Zambia,ZMB,1994,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,13.3179332476675
Zambia,ZMB,1993,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,12.0718245217937
Zambia,ZMB,1992,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,12.8631637474599
Zambia,ZMB,1991,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,12.4338490708853
Zambia,ZMB,1990,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD,12.0767491038104
Zambia,ZMB,2017,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,13.9977011531986
Zambia,ZMB,2016,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,9.18274198373201
Zambia,ZMB,2015,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,4.69757281750618
Zambia,ZMB,2014,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,4.17972583581667
Zambia,ZMB,2013,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,5.14797170711892
Zambia,ZMB,2012,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,5.0055619749644
Zambia,ZMB,2011,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,5.00800918600954
Zambia,ZMB,2010,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,3.95945521041918
Zambia,ZMB,2009,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,5.13870189967879
Zambia,ZMB,2008,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,5.25931877841193
Zambia,ZMB,2007,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0.632467975704243
Zambia,ZMB,2006,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,5.51092967523628
Zambia,ZMB,2005,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,5.59795126377011
Zambia,ZMB,2004,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,4.65521511434027
Zambia,ZMB,2003,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1.94151647416428
Zambia,ZMB,2002,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2.17090330577453
Zambia,ZMB,2001,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,5.3587232328744
Zambia,ZMB,2000,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2.07416812490852
Zambia,ZMB,1999,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,4.23505350376139
Zambia,ZMB,1998,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2.88768592092867
Zambia,ZMB,1997,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2.71065847967334
Zambia,ZMB,1996,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1.80335603054826
Zambia,ZMB,1995,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1.27139422914905
Zambia,ZMB,1994,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0.58411270634948
Zambia,ZMB,1993,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0
Zambia,ZMB,1992,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,6.67227132138251
Zambia,ZMB,1991,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0
Zambia,ZMB,1990,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0.372599550201243
Zambia,ZMB,2017,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,75.2
Zambia,ZMB,2016,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,70.5281524658203
Zambia,ZMB,2015,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,67.7
Zambia,ZMB,2014,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,61.5
Zambia,ZMB,2013,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,61.2873153686523
Zambia,ZMB,2012,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,60.0337142944336
Zambia,ZMB,2011,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,58.7886390686035
Zambia,ZMB,2010,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,49.8
Zambia,ZMB,2009,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,56.3322448730469
Zambia,ZMB,2008,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,55.1231536865234
Zambia,ZMB,2007,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,47.8
Zambia,ZMB,2006,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,52.7440071105957
Zambia,ZMB,2005,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,51.5741424560547
Zambia,ZMB,2004,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,47.6
Zambia,ZMB,2003,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,48
Zambia,ZMB,2002,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,45.1
Zambia,ZMB,2001,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,47.0135955810547
Zambia,ZMB,2000,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,44.1
Zambia,ZMB,1999,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,44.7510757446289
Zambia,ZMB,1998,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,48
Zambia,ZMB,1997,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,42.4421806335449
Zambia,ZMB,1996,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,44.1
Zambia,ZMB,1995,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,40.0549201965332
Zambia,ZMB,1994,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,38.8366889953613
Zambia,ZMB,1993,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,37.607105255127
Zambia,ZMB,1992,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,39.2
Zambia,ZMB,1991,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,35.1290168762207
Zambia,ZMB,1990,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,34.7
Zambia,ZMB,2017,Access to electricity (% of population),EG.ELC.ACCS.ZS,40.3
Zambia,ZMB,2016,Access to electricity (% of population),EG.ELC.ACCS.ZS,35.2165069580078
Zambia,ZMB,2015,Access to electricity (% of population),EG.ELC.ACCS.ZS,31.1
Zambia,ZMB,2014,Access to electricity (% of population),EG.ELC.ACCS.ZS,27.9
Zambia,ZMB,2013,Access to electricity (% of population),EG.ELC.ACCS.ZS,28.0893135070801
Zambia,ZMB,2012,Access to electricity (% of population),EG.ELC.ACCS.ZS,27.2116241455078
Zambia,ZMB,2011,Access to electricity (% of population),EG.ELC.ACCS.ZS,26.440128326416
Zambia,ZMB,2010,Access to electricity (% of population),EG.ELC.ACCS.ZS,22
Zambia,ZMB,2009,Access to electricity (% of population),EG.ELC.ACCS.ZS,25.0330238342285
Zambia,ZMB,2008,Access to electricity (% of population),EG.ELC.ACCS.ZS,24.3925724029541
Zambia,ZMB,2007,Access to electricity (% of population),EG.ELC.ACCS.ZS,18.5
Zambia,ZMB,2006,Access to electricity (% of population),EG.ELC.ACCS.ZS,23.1737403869629
Zambia,ZMB,2005,Access to electricity (% of population),EG.ELC.ACCS.ZS,22.5682220458984
Zambia,ZMB,2004,Access to electricity (% of population),EG.ELC.ACCS.ZS,20.3
